mileage,price,Bike name,Types and Used  Time,description
"32,000 miles","$4,950 ",ROAD STAR SILVERADO MIDNIGHT,  2008 Yamaha Cruiser,Garage bike. Had all seals replaced when I purchased it from a dealer. Only put 2500 miles on it since I bought it. Great ride. I just don't ride it enough and desires to be riden. I've developed wrist arthritis and need to let it go. Runs Great .Smooth ride.
"1,200 miles","$1,395 ",VINO CLASSIC,  2006 Yamaha Scooter,"Runs Great! New Battery, Complete Carberator and spark plug cleaning and adjustment. Engine in good shape, compression checked and doesn't use oil.   but taken care of!"
"8,407 miles","$4,995 ",V STAR 1100 CLASSIC,  2005 Yamaha Cruiser,"Yamaha V-Star 1100 Classic, excellent condition, garage kept, new tires recently, new PA inspection. Driver and passenger back rest, luggage rack, driver & passenger running boards. Very nice bike. Call or text 717-331-7816"
4 miles,"$5,499 ",YZF-R3 ABS,New 2023 Yamaha Sportbike,
1 miles,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Sport Touring,"2022 Yamaha Tracer 9 GT, TRACER 9 GT"
"2,600 miles","$11,900 ",TRACER 9 GT,  2021 Yamaha Sport Touring,"2021 Yamaha Tracer 9-GT. 2,600 miles, like new. 890cc, 6-spd. Manual/Quick-shifter. Cruise control. Heated grips w/protectors. Electronic, 2-mode suspension. Adjustable windscreen/riding position. Aluminum wheels. Locking side cases. ABS. Twin 3.5"" instrument displays. Ride-by-wire throttle system. Change riding mode and suspension on the fly. Garaged. Including cruising windscreen still in the box. https://www.yamahamotorsports.com/sport-touring/models/2021/tracer-9-gt"
750 miles,"$5,795 ",WR250R ZL-C,  2018 Yamaha Dual Sport,LESS THAN 800 MILES ADULT OWNED GARAGE KEPT LIKE NEW / BEEN LOWERED ABOUT 2 INCHES / NEW SMALLER TAILLIGHT AND TURN SIGNALS / LUGGAGE RACK / BARK BUSTERS WITH FRONT LED TURN SIGNALS / ALUMINUM SKID PLATE / KEPT ORIGINAL PARTS TO GO WITH SALE OF THE BIKE. $5795 WON’T BE DISAPPOINTED 540-361-4399 PLEASE LEAVE A MESSAGE FOR RON
"13,000 miles","$6,000 ",STRYKER 1300,  2012 Yamaha Cruiser,"2012 Yamaha Stryker 1300 with low miles. Well taken care of, only ridden a few times each season."
"9,600 miles","$3,350 ",XV650,  2009 Yamaha Custom,*** 2009 Yamaha Vstar 650 XVS ***Well kept and runs great!Includes:- Title in hand- New white wall tires- New battery- Custom Mustang seats- Saddle bags- Windshield- Maintenance manual- Bike coverBuilt for comfort and style!Priced to sell.
12 miles,"$8,000 ",250F,  2023 Yamaha Dirt Bike,Bike has 1 hour on it. Rode it and realized it's not what I need. Have a Moose kickstand (not installed) to go with it. Clean title.
1 miles,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Standard,"2022 Yamaha Tracer 9 GT,"
"19,620 miles","$6,498 ",FJ-09,  2015 Yamaha Standard,"2015 Yamaha FJ-09,"
"8,000 miles","$14,000 ",YZF R1,  2014 Yamaha Sportbike,"2014 great like new condition, brand new tires and battery and tune up. Low miles no damage."
"54,500 miles","$7,500 ",FJR 1300ABS,  2014 Yamaha Sport Touring,"This bike is well maintained and in good condition, never been in an accident. There are a few minor paint scratches on the mirrors and side covers. With the hard case side bags there are soft luggage bags that fit inside. There is a tank bag included with the bike. If interested also included is a XL Cortech GS Sport Jacket in white and a 1 year old XL Shoei RF 1200 helmet for $200. Contact if you are interested in seeing beauty."
"9,300 miles","$7,200 ",RAIDER 1900,  2008 Yamaha Cruiser,Yamaha Raider Raven edition. Yamaha crash bars and passenger backrest. Cobra sweep exhaust with power commander. Relatively new tires and regular maintenance. 9300 miles. 7200 or best offer. More photos available upon request.
"8,489 miles","$2,800 ",V STAR 650 CUSTOM,  2005 Yamaha Touring,Clean bike with lower miles. 2nd Owner. Never been laid down. This has Cobra exhaust and custom air intake. Good runner!
,"$4,999 ",MT-03,New 2023 Yamaha Standard,"2023 Yamaha MT-03,"
,"$5,499 ",YZF-R3,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R3,"
2 miles,"$7,899 ",MT-07,New 2023 Yamaha Standard,"2023 Yamaha MT-07,"
,"$7,999 ",YZ250X,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250X,"
1 miles,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,"2023 Yamaha Zuma 125,"
,"$9,199 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7,"
,"$9,799 ",MT-09,New 2023 Yamaha Sportbike,
3 miles,"$9,199 ",YZF-R7,New 2023 Yamaha Custom,"2023 Yamaha YZF-R7,"
2 miles,"$6,059 ",MT03PL,New 2023 Yamaha Custom,"2023 Yamaha MT03PL,"
,"$14,199 ",MT-10,New 2023 Yamaha Sportbike,
,"$8,699 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7,"
1 miles,"$9,799 ",MT-09,New 2023 Yamaha Sportbike,"2023 Yamaha MT-09,"
,"$4,999 ",MT-03,New 2023 Yamaha Sportbike,"2023 Yamaha MT-03,"
"19,898 miles","$5,999 ",FJ-09,  2015 Yamaha Sport Touring,"2015 Yamaha FJ-09, Carbon fiber wrapped accent pieces!"
"19,898 miles","$5,999 ",FJ-09,  2015 Yamaha Sport Touring,"2015 Yamaha FJ-09, Carbon fiber wrapped accent pieces!"
"19,898 miles","$5,999 ",FJ-09,  2015 Yamaha Sport Touring,"2015 Yamaha FJ-09, Carbon fiber wrapped accent pieces!"
"18,411 miles","$13,490 ",YZF-R1S,  2016 Yamaha Sportbike,"$2000 or more monthly Gross income,"
"37,668 miles","$6,995 ",V Star 1300 Deluxe,  2013 Yamaha Cruiser,"ALL DRESSED UP WITH EVERYWHERE TO GOIntroducing the world's first production midsize bagger! Packed with features including torquey 80 cubic engine, stylish and functional fork mounted fairing, fully-integrated dash and audio system with iPod / iPhone compatibility, hand controller for audio, Garmin® zumo® 665 (motorcycle-friendly navigation system featuring XM satellite radio capability, bluetooth wireless, waterproof design, lane assist and 3D building view), hard bags with tons of storage, steel fenders, and much more. The all-new V Star 1300 Deluxe truly is in a class by itself."
"12,055 miles","$6,999 ",R1,  2003 Yamaha Trike,"2003 Yamaha R1, HINDLE EXHAUSTLESS THAN 13K MILES"
"12,055 miles","$6,999 ",R1,  2003 Yamaha Trike,"2003 Yamaha R1, HINDLE EXHAUSTLESS THAN 13K MILES"
"12,055 miles","$6,999 ",R1,  2003 Yamaha Trike,"2003 Yamaha R1, HINDLE EXHAUSTLESS THAN 13K MILES"
"24,745 miles","$11,900 ",YZF-R1,  2013 Yamaha Sportbike,
"24,593 miles","$4,999 ",V STAR 1300,  2009 Yamaha Cruiser,
1 miles,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, Advertised pricing excludes applicable taxes title and licensing and are subject to change without notice. Pricing may exclude any added parts, accessories or installation unless otherwise noted. Sale prices include all applicable offers. Not all options listed are available on pre-owned models. Contact dealer for details.  2022 Yamaha MT-09"
,"$8,999 ",YZF-R7,New 2022 Yamaha Sportbike,"2022 Yamaha YZF-R7,   2022 Yamaha YZF-R7 for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 60 months credit approval. Other options available. Contact us to apply."
"5,612 miles","$13,584 ",Niken GT,  2019 Yamaha Sportbike,"2019 Yamaha Niken GT, Advertised pricing excludes applicable taxes title and licensing and are subject to change without notice. Pricing may exclude any added parts, accessories or installation unless otherwise noted. Sale prices include all applicable offers. Not all options listed are available on pre-owned models. Contact dealer for details.  2019 Yamaha Niken GT"
,"$5,499 ",YZF-R3,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R3, 2023 Yamaha YZF-R3"
"7,185 miles","$8,995 ",MT-09,  2019 Yamaha Standard,"2019 Yamaha MT-09, QUESTIONS? CALL TODD FOR ASSISTANCE    2019 Yamaha MT-09"
"20,528 miles","$4,999 ",FZ6R,  2012 Yamaha Sportbike,"2012 Yamaha FZ6R,"
"20,528 miles","$4,999 ",FZ6R,  2012 Yamaha Sportbike,"2012 Yamaha FZ6R,"
"24,208 miles","$4,999 ",ROAD STAR,  2006 Yamaha Cruiser,
,"$8,999 ",YZF-R7,New 2022 Yamaha Sportbike,"2022 Yamaha YZF-R7,   2022 Yamaha YZF-R7 for sale at Riva Motorsports & Marine Florida Keys IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 60 months credit approval. Other options available. Contact us to apply."
"3,327 miles","$5,999 ",YZF-R3 Monster Energy Yamaha MotoGP Edition,  2021 Yamaha Sportbike,"2021 Yamaha YZF-R3 Monster Energy Yamaha MotoGP Edition, AWESOME LOOKING R3 WITH LESS THAN 3500 MILES.  UPGRADED KO LIGHTNING EXHAUST, ADJUSTABLE LEVERS, AND CARBON FIBER PANELS.  SWEET STARTER BIKE, COMMUTER, OR TRACK BIKE."
"3,327 miles","$5,999 ",YZF-R3 Monster Energy Yamaha MotoGP Edition,  2021 Yamaha Sportbike,"2021 Yamaha YZF-R3 Monster Energy Yamaha MotoGP Edition, AWESOME LOOKING R3 WITH LESS THAN 3500 MILES.  UPGRADED KO LIGHTNING EXHAUST, ADJUSTABLE LEVERS, AND CARBON FIBER PANELS.  SWEET STARTER BIKE, COMMUTER, OR TRACK BIKE."
"3,327 miles","$5,999 ",YZF-R3 Monster Energy Yamaha MotoGP Edition,  2021 Yamaha Sportbike,"2021 Yamaha YZF-R3 Monster Energy Yamaha MotoGP Edition, AWESOME LOOKING R3 WITH LESS THAN 3500 MILES.  UPGRADED KO LIGHTNING EXHAUST, ADJUSTABLE LEVERS, AND CARBON FIBER PANELS.  SWEET STARTER BIKE, COMMUTER, OR TRACK BIKE."
"11,715 miles","$10,999 ",FJR1300A 1300 A,  2015 Yamaha Sport Touring,"2015 Yamaha FJR1300A, 2015 Yamaha FJR1300A"
"47,304 miles","$4,999 ",ROAD STAR SILVERADO,  2008 Yamaha Cruiser,
,"$9,499 ",MT-09,New 2022 Yamaha Standard,"2022 Yamaha MT-09,   2022 Yamaha MT-09 for sale at Riva Motorsports Miami Own for as low as  with approved credit. Payment is based on 7.99% APR for 60 months credit approval. Other options available. Contact us to apply."
,"$7,899 ",MT-07,New 2022 Yamaha Standard,"2022 Yamaha MT-07,   2022 Yamaha MT-07 motorcycle for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 7.99% APR for 60 months credit approval. Other options available. Contact us to apply."
"21,555 miles","$9,950 ",V Star 1300 Deluxe,  2015 Yamaha Cruiser,
"2,615 miles","$3,999 ",V STAR 250,  2013 Yamaha Cruiser,
"15,381 miles","$7,299 ",V Star 1300 Deluxe,  2013 Yamaha Cruiser,"No Open Bankruptcy,"
"19,866 miles","$8,799 ",Raider SCL,  2012 Yamaha Cruiser,"2012 Yamaha Raider SCL, GORGEOUS PAINT, GREAT SOUNDING FREEDOM PERFORMANCE EXHAUST.  THIS ONE IS A LOOKER-"
"19,866 miles","$8,799 ",Raider SCL,  2012 Yamaha Cruiser,"2012 Yamaha Raider SCL, GORGEOUS PAINT, GREAT SOUNDING FREEDOM PERFORMANCE EXHAUST.  THIS ONE IS A LOOKER-"
"19,866 miles","$8,799 ",Raider SCL,  2012 Yamaha Cruiser,"2012 Yamaha Raider SCL, GORGEOUS PAINT, GREAT SOUNDING FREEDOM PERFORMANCE EXHAUST.  THIS ONE IS A LOOKER-"
"56,869 miles","$3,499 ",Road Star Silverado Midnight,  2005 Yamaha Cruiser,"2005 Yamaha Road Star Silverado Midnight,"
"56,869 miles","$3,499 ",Road Star Silverado Midnight,  2005 Yamaha Cruiser,"2005 Yamaha Road Star Silverado Midnight,"
"56,869 miles","$3,499 ",Road Star Silverado Midnight,  2005 Yamaha Cruiser,"2005 Yamaha Road Star Silverado Midnight,"
,"$3,995 ",TT-R230,  2021 Yamaha Dirt Bike,"2021 Yamaha TT-R230, Super clean LOW LOW HOURS! CLICK, Email or CALL 616-379-6060 for details or to schedule a visit. Home of Michigan’s Cleanest pre-owned.  LOW INTEREST Financing and NO PAYMENTS FOR 45 Days with approved Credit.Warranty available for up to 3 years on pre-owned!DELIVERY AvailableLooking to add some performance? No problem, we are a Vance and Hines, Yoshimura, Freedom Exhaust and Dynojet dealer. We can even finance the accessories with your bike.Stop in, Email, Call 616-379-6060 or check out our website at www.PLATINUMpowersports.com to see our large selection of   motorcycles, ATVs, UTVs and dirt bike models.PLATINUM Powersports sells New Yamaha, Husqvarna, GAS GAS, CFMOTO, SSR, Benelli and Pre-Owned from all brands including Harley Davidson, Honda, Suzuki, Kawasaki, KTM, Canam, Victory, Polaris, Indian, Arctic Cat, Textron and more. WE TAKE TRADES!!! Motorcycle, ATV, UTV, Snowmobile and more... Give us a callOur promise: We do our best to buy top quality pre-owned powersports. Once we buy them, we put them through our rigorous inspection, full service and a meticulous detail. This is an area that is overlooked by many dealers and especially on   units. We wouldn't buy a bike from a dealer that didn't look like it had been inspected or serviced, and we don't expect you to either.WE ARE BUYING MOTORCYCLES, ATVs, UTVs and Snowmobiles. Fill out our Sell my Motorcycle form on our website or give us a call anytime to get a quote. WE BUY EVEN IF YOU HAVE NEVER PURCHASED FROM US. WE HAVE GEAR TOO! Why buy online when you can get it from us? We can even help you finance it with your bike. We stock Fox and Fly gear, helmets, and boots, Alpinestar, 100%, Dunlop, Michelin, HJC, GMAX, ODI grips, Bell and more!!!!."
"10,170 miles","$5,799 ",V Star 950 BASE,  2009 Yamaha Cruiser,"2009 Yamaha V Star 950, JUST OVER 10K MILES, WINDSHIELD, GREAT SOUNDING VANCE AND HINES PIPES, SPEAKERS, COMFY MUSTANG SEAT, SISSY BAR.  LOOKS AND SOUNDS GREAT!"
"10,170 miles","$5,799 ",V Star 950 BASE,  2009 Yamaha Cruiser,"2009 Yamaha V Star 950, JUST OVER 10K MILES, WINDSHIELD, GREAT SOUNDING VANCE AND HINES PIPES, SPEAKERS, COMFY MUSTANG SEAT, SISSY BAR.  LOOKS AND SOUNDS GREAT!"
"15,299 miles","$5,999 ",ROAD STAR SILVERADO,  2006 Yamaha Cruiser,
"42,497 miles","$5,799 ",Royal Star Venture,  2005 Yamaha Touring,"2005 Yamaha Royal Star Venture,"
"42,497 miles","$5,799 ",Royal Star Venture,  2005 Yamaha Touring,"2005 Yamaha Royal Star Venture,"
"42,497 miles","$5,799 ",Royal Star Venture,  2005 Yamaha Touring,"2005 Yamaha Royal Star Venture,"
"33,848 miles","$3,999 ",ROAD STAR SILVERADO,  1999 Yamaha Cruiser,
"6,895 miles","$6,999 ",XT350,  1989 Yamaha Dual Sport,
,"$12,699 ",YZF-R6 RACE,New 2023 Yamaha Sportbike,
"17,561 miles","$4,999 ",V STAR 950 TOURER,  2012 Yamaha Cruiser,
"38,087 miles","$4,699 ",ROAD STAR,  2000 Yamaha Cruiser,
,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,
1 miles,"$8,899 ",Bolt R-Spec,New 2023 Yamaha Cruiser,
600 miles,"$8,999 ",YZF-R7,  2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7, 2023 Yamaha YZF-R7"
"1,391 miles","$16,995 ",Star Eluder,  2018 Yamaha Touring,"2018 Yamaha Star Eluder, 2018 Yamaha Star Eluder"
"3,750 miles","$10,990 ",YZF-R6,  2014 Yamaha Sportbike,"2014 Yamaha YZF-R6, 2 owner Like new Fresh service Tires in great shape Fender eliminator Carbon side covers Carbon clutch lever  2014 Yamaha YZF-R6"
"14,630 miles","$6,999 ",STRYKER 1300,  2012 Yamaha Cruiser,
,"$10,999 ",YZF-R1,  2011 Yamaha Sportbike,"2011 Yamaha YZF-R1,"
,"$10,999 ",YZF-R1,  2011 Yamaha Sportbike,"2011 Yamaha YZF-R1,"
"14,417 miles","$5,999 ",STAR XVS 1300,  2009 Yamaha Cruiser,
"15,823 miles","$4,999 ",ROAD STAR MIDNIGHT,  2007 Yamaha Cruiser,
"17,579 miles","$3,999 ",V STAR 650 CLASSIC,  1999 Yamaha Cruiser,
,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,
"1,422 miles","$5,700 ",MT-03,  2021 Yamaha Sportbike,
"12,508 miles","$23,995 ",YZF-R1M,  2021 Yamaha Sportbike,"2021 Yamaha YZF-R1M, 2021 Yamaha YZF-R1M"
,"$7,499 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,  2021 Yamaha Dirt Bike,"2021 Yamaha YZ250F Monster Energy Yamaha Racing Edition, 2021 Yamaha YZ250F Monster Energy Yamaha Racing Edition"
"13,879 miles","$12,999 ",YZF-R6,  2018 Yamaha Sportbike,
"16,640 miles","$15,999 ",Star Venture with Transcontinental Option Package,  2018 Yamaha Touring,"""Top-of-the-line"" transcontinental tourer combines emotional V-Twin performance with cutting-edge comfort and technology."
"6,000 miles","$13,997 ",YZF-R6,  2016 Yamaha Sportbike,
"12,127 miles","$5,999 ",STAR XVS 1300,  2012 Yamaha Cruiser,
"31,776 miles","$5,999 ",V Star 950 Tourer,  2012 Yamaha Touring,
"14,166 miles","$4,999 ",ROAD STAR,  2005 Yamaha Cruiser,
,"$4,299 ",YZ 250,  2003 Yamaha Dirt Bike,2003 Yamaha YZ250
"14,570 miles","$3,999 ",V STAR 650 CUSTOM,  2000 Yamaha Cruiser,
2 miles,"$8,499 ",YZF-R3 ABS,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R3 ABS, Super clean, adult owned and rode only 3 times! Has Pro Circuit pipe and custom graphics kit. Come check out this immaculate 2- stroke!   Top Features  Engine Features"
,"$8,799 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250F Monster Energy Yamaha Racing Edition, 2023 Yamaha YZ250F"
,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R230,   2023 Yamaha TT-R230 Dirt bike for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 10.99% APR for 60 months credit approval. Other options available. Contact us to apply."
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,
,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, 2022 Yamaha Tracer 9 GT"
,"$3,349 ",TT-R125LE,New 2022 Yamaha Dirt Bike,"2022 Yamaha TT-R125LE, 2022 Yamaha TT-R125LE"
,"$1,199 ",PW50,New 2022 Yamaha Dirt Bike,
,"$1,199 ",PW50,New 2022 Yamaha Dirt Bike,
"32,250 miles","$4,999 ",ROAD STAR,  2004 Yamaha Cruiser,
"35,638 miles","$3,999 ",V STAR 1100 CLASSIC,  2004 Yamaha Cruiser,2004 Yamaha V-Star XVS1100 Classic
,"$2,499 ",WR400F,  1999 Yamaha Dirt Bike,
,"$8,599 ",YZ250F,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250F, 2023 Yamaha YZ250F"
,"$8,799 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250F Monster Energy Yamaha Racing Edition, 2023 Yamaha YZ250F Monster Energy Yamaha Racing Edition"
,"$8,599 ",YZ250F,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250F, 2023 Yamaha YZ250F"
,"$8,799 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250F Monster Energy Yamaha Racing Edition, 2023 Yamaha YZ250F"
"3,226 miles","$8,799 ",Bolt R-Spec,  2020 Yamaha Sportbike,"2020 Yamaha Bolt R-Spec, 2020 Yamaha Bolt R-Spec"
"68,223 miles","$8,995 ",FJR1300A 1300 A,  2015 Yamaha Sportbike,
,"$5,999 ",YZ 250,  2004 Yamaha Dirt Bike,2004 yamaha yz250
,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R230,   2023 Yamaha TT-R230 Dirt bike for sale at Riva Motorsports & Marine Florida Keys IN-STOCK! Own for as low as  with approved credit. Payment is based on 10.99% APR for 60 months credit approval. Other options available. Contact us to apply."
,"$26,999 ",YZF-R1M,New 2023 Yamaha Sportbike,"2023 Yamaha YZF-R1M,   2023 Yamaha YZF-R1M for sale at Riva Motorsports Miami IN-STOCK!"
1 miles,"$11,499 ",MT-09 SP,New 2023 Yamaha Sportbike,
,"$14,199 ",MT-10,New 2023 Yamaha Sportbike,
152 miles,"$9,290 ",YZF-R7,  2022 Yamaha Sportbike,
,"$4,699 ",YZ65,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ65, 2022 Yamaha YZ65 / STOCK # YN1560"
,"$4,799 ",MT-03,New 2022 Yamaha Sportbike,"2022 Yamaha MT-03,   2022 Yamaha MT-03 for sale at Riva Motorsports Miami Own for as low as  with approved credit. Payment is based on 5.99% APR for 48 months credit approval. Other options available. Contact us to apply."
,"$5,799 ",XMAX,New 2022 Yamaha Scooter,"2022 Yamaha XMAX,   2022 Yamaha XMAX for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 48 months credit approval. Other options available. Contact us to apply."
,"$7,699 ",MT-07,New 2021 Yamaha Standard,"2021 Yamaha MT-07,   2021 Yamaha MT-07 for sale at Riva Motorsports Miami  Own for as low as  with approved credit. Payment is based on 4.99% APR for 60 months credit approval. Other options available. Contact us to apply."
"16,723 miles","$10,900 ",YZF-R6,  2016 Yamaha Sportbike,The R6 is without a doubt the most dominant 600cc sportbike with championship runs in both Supersport and Superstock in 2015.
"7,800 miles","$10,999 ",YZF-R6,  2016 Yamaha Sportbike,The R6 is without a doubt the most dominant 600cc sportbike with championship runs in both Supersport and Superstock in 2015.
"27,891 miles","$5,495 ",V Star 950 Tourer,  2014 Yamaha Touring,
"85,716 miles","$2,995 ",V-star 1300,  2012 Yamaha Cruiser,Price:
"13,452 miles","$3,999 ",V STAR 650 CLASSIC,  2007 Yamaha Cruiser,
"20,027 miles","$3,999 ",V STAR 1100 CLASSIC,  2002 Yamaha Cruiser,
,"$7,099 ",YZ125X,New 2023 Yamaha Dirt Bike,
,"$7,397 ",YZ250X,New 2023 Yamaha Dirt Bike,
,"$9,799 ",MT-09,New 2023 Yamaha Sportbike,
2 miles,"$4,999 ",MT-03,New 2023 Yamaha Standard,"2023 YAMAHA MT-03,    Top Features  Engine Features"
,"$16,299 ",Super Tenere ES,New 2023 Yamaha Dual Sport,"2023 Yamaha Super Tenere ES,   2023 Yamaha Super Tenere ES for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 11.99% APR for 60 months credit approval. Other options available. Contact us to apply."
,"$13,797 ",Tracer 9 GT,New 2022 Yamaha Touring,
1 miles,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, *Vehicles are subject to prior sale. Unit is Redline. Offer can be terminated without notice and images are for illustration purposes only, accessories shown in pictures are not included in the selling price. Offer may be subject to mfg. guidelines, conditions & termination dates. Financing offer is W.A.C.: $1,741.17-down, $261.56 a mo @ 6.25% A.P.R. for 72 mos. Sale price 14999 plus all applicable taxes, doc, and added dealer markup. Rebates or cashback are applied when applicable. Please note occasionally human error can occur, therefore we reserve the right to amend pricing errors without notice. See dealer for details. #YM01436 - Expires 4/30/2023   2022 Yamaha Tracer 9 GT"
,"$8,699 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ250F Monster Energy Yamaha Racing Edition,   2022 Yamaha YZ250F Monster Energy Yamaha Racing Edition for sale at Riva Motorsports Miami Own for as low as  with approved credit. Payment is based on 5.99% APR for 60 months credit approval. Other options available. Contact us to apply."
,"$4,699 ",YZ65,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ65,   2022 Yamaha YZ65 Kids Dirt bike for sale at Riva Motorsports & Marine Florida Keys IN-STOCK!"
,"$5,299 ",YZF-R3,New 2022 Yamaha Sportbike,"2022 Yamaha YZF-R3,   2022 Yamaha YZF-R3 for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 48 months credit approval. Other options available. Contact us to apply."
,"$4,799 ",MT-03,New 2022 Yamaha Sport Touring,"2022 Yamaha MT-03,   2022 Yamaha MT-03 for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 48 months credit approval. Other options available. Contact us to apply."
,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, 2022 Yamaha Tracer 9 GT"
,"$18,988 ",YZF-R1,New 2020 Yamaha Sportbike,"2020 Yamaha YZF-R1,   2020 Yamaha YZF-R1 for sale at Riva Motorsports Miami IN-STOCK! Skip the wait and save on this NEW but leftover R1 with all the right extras including Yoshimura exhaust, shorti levers, fender eliminator, Galespeed wheels, 520 chain conversion, SBS rotors, and more.Own for as low as  with approved credit. Payment is based on 7.99% APR for 60 months credit approval. Other options available. Contact us to apply."
"17,605 miles","$18,999 ",XV1900 STAR VENTURE 1900 TC PACKAGE W/ABS BASE,  2018 Yamaha Touring,"2018 YAMAHA XV1900 STAR VENTURE 1900 TC PACKAGE W/ABS, We provide more detailed information as well as additional photos on our website. To view that information, please click on the ""view website"" link in the details section below. Most of our bikes are sold fully serviced, detailed and have a nationwide warranty of up to 90-days. And yes, we also take trades!"
"2,789 miles","$6,999 ",Bolt,  2017 Yamaha Cruiser,"2017 Yamaha Bolt, 2017 Yamaha Bolt"
"40,148 miles","$10,499 ",FJR1300A 1300 A,  2015 Yamaha Sport Touring,"2015 Yamaha FJR1300A, 2015 Yamaha FJR1300A"
"36,764 miles","$5,999 ",V Star 950 Tourer,  2014 Yamaha Touring,"YOU'RE FREE TO GO. Fully equipped with windshield, passenger backrest and leather-wrapped hard sidebags, the moment you pull your V Star 950 onto the on-ramp, the highway is yours."
"5,841 miles","$6,799 ",ROAD STAR SILVERADO,  2013 Yamaha Trike,"2013 Yamaha ROAD STAR SILVERADO, LOW MILESPASSENGER BACKREST"
"5,841 miles","$6,799 ",ROAD STAR SILVERADO,  2013 Yamaha Trike,"2013 Yamaha ROAD STAR SILVERADO, LOW MILESPASSENGER BACKREST"
"5,841 miles","$6,799 ",ROAD STAR SILVERADO,  2013 Yamaha Trike,"2013 Yamaha ROAD STAR SILVERADO, LOW MILESPASSENGER BACKREST"
,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,
,"$9,199 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7,   New 2023 Yamaha YZF-R7 Motorcycle For Sale In Lake Wales, FL  McKibben Powersports"
,"$8,099 ",YZ250 Monster Energy Yamaha Racing Edition,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250 Monster Energy Yamaha Racing Edition, 2023 Yamaha YZ250 Monster Energy Yamaha Racing Edition"
,"$9,199 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7,   New 2023 Yamaha YZF-R7 Motorcycle For Sale In Sebring, FL  McKibben Powersports of Sebring"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$4,799 ",MT-03,New 2022 Yamaha Sport Touring,"2022 Yamaha MT-03,   2022 Yamaha MT-03 for sale at Riva Motorsports & Marine Florida Keys IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 48 months credit approval. Other options available. Contact us to apply."
