mileage,price,BIke name,Types and Used Time,description
3 miles,"$11,699 ",GSX-R600,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and later expanded GSX-R lineage with the addition of the GSX-R600. The 2023 GSX-R600 embodies Suzuki’s tradition of blending race-winning capability with impeccable street manners."
,"$18,199 ",GSX-R1000R,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and then created another milestone in 2001 with the introduction of the GSX-R1000. Using the lithe chassis of the GSX-R750 and a 988cc inline four-cylinder engine design that Suzuki is renowned for, liter-class Superbike performance became available to riders everywhere."
,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
,"$18,299 ",GSX-R1000RZ,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and then created another milestone in 2001 with the introduction of the GSX-R1000. Using the lithe chassis of the GSX-R750 and a 988cc inline four-cylinder engine design that Suzuki is renowned for, liter-class Superbike performance became available to riders everywhere."
,"$7,799 ",DR-Z400SM,New 2023 Suzuki Dual Sport,"Suzuki's 2023 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
,"$5,190 ",Burgman 200,New 2022 Suzuki Scooter,CALL SALES 920-788-0220
,"$2,995 ",RM85,New 2022 Suzuki Dirt Bike,"The 2022 RM85 continues to carry on the powerful tradition of racing excellence in the Suzuki motocross family. The reliable two-stroke engine produces smooth power at any rpm with an emphasis on low- to mid-range performance. Just like its larger RM-Z cousins, the RM85 delivers class-leading handling for both experienced racers and rookie riders alike. With its smooth power delivery and lightweight handling, the RM85 is the perfect motocross bike for anyone learning to race and striving to win!"
"3,956 miles","$8,591 ",GSX-S750,  2022 Suzuki Sportbike,"The GSX-S750 blends GSX-R750-derived engine performance with an ergonomically sound chassis to fashion a naked sportbike that gathers attention everywhere you ride it, thanks to its aggressive appearance. The 2022 GSX-S750’s Metallic Matte Black bodywork is complemented by a blacked-out engine, wheels, and select chassis components. Aggressive styling, strong performance, and comfortable riding posture set the GSX-S750 apart from other middleweight sportbikes, and many of those competitors cost considerably more to purchase and own."
,"$2,995 ",RM85,New 2022 Suzuki Dirt Bike,"The 2022 RM85 continues to carry on the powerful tradition of racing excellence in the Suzuki motocross family. The reliable two-stroke engine produces smooth power at any rpm with an emphasis on low- to mid-range performance. Just like its larger RM-Z cousins, the RM85 delivers class-leading handling for both experienced racers and rookie riders alike. With its smooth power delivery and lightweight handling, the RM85 is the perfect motocross bike for anyone learning to race and striving to win!"
,"$4,395 ",Burgman 200,New 2022 Suzuki Scooter,"Everything you thought you knew about smart commuting and exciting riding is about to change. Taking advantage of Suzuki's advanced technology, the compact Burgman 200 has everything you need and more. The liquid-cooled, fuel-injected, SOHC engine is tuned for optimal performance at the low- and mid-range revs   most for commuting and exploring around town. The fully automatic transmission seamlessly puts down power by a simple twist of the wrist. Smooth is what you feel. Quiet is what you hear. And power and fuel efficiency are your rewards. Plush double-stitched seating and specially designed cutaway floorboards provide comfort second to none. The Burgman also features a huge storage compartment large enough for two full-face helmets. From its sleek Metallic Matte Stellar Blue bodywork and aerodynamic windscreen to its smooth and reliable, 200cc engine, the 2022 Burgman 200 is the smart choice for scooters."
,"$9,399 ",V-Strom 650XT,New 2022 Suzuki Dual Sport,"Renowned for versatility, reliability, and value, Suzuki’s V-Strom 650 models have attracted many riders who use their motorcycles for touring, commuting, or a fun ride when the spirit moves them. These are touchstone motorcycles balanced with a natural riding position, comfortable seat, and a flexible engine character that produces stress-free riding during brief daily use or a high-mile adventure."
,"$7,599 ",DR-Z400SM,New 2022 Suzuki Dual Sport,"Suzuki's SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
,"$4,999 ",GSX250R ABS,New 2022 Suzuki Sportbike,"The 2022 GSX250R ABS is a fully faired street machine that brings the excitement and riding satisfaction of Suzuki’s sportbike heritage to a broader audience. Built to introduce Suzuki fun and reliability to new riders, this sportbike has smart performance, engaging styling, and comfort features that will appeal to a broad base of enthusiasts."
,"$15,299 ",Boulevard M109R B.O.S.S.,New 2022 Suzuki Cruiser,"The 2021 Suzuki M109R B.O.S.S. is the performance cruiser other bikes wish they were. This dark and muscular M109R has a powerful V-twin engine using some of the largest pistons in the industry a bike that will get your adrenaline flowing whenever you ride. This 109 cubic inch engine is wrapped with aggressive blacked-out styling that includes slash-cut mufflers, drag-style bars, a supplied solo seat cowl, and a distinctively shaped headlight nacelle that’s uniquely Suzuki. This bike is not just about looks, as stout inverted forks, a hidden single-shock rear suspension, and an ideally designed saddle deliver responsive handling and an exceptionally comfortable ride. Hold on as performance never looked so good, or so dark."
1 miles,"$4,999 ",Burgman 200,New 2022 Suzuki Scooter,Burgman 200 Mountain Motorsports- Over 50 Years of Great Customer Service!!
,"$8,499 ",Burgman 400,New 2022 Suzuki Scooter,"Already the leader in its category, the 2022 Suzuki Burgman 400 has a host of styling, technical, and rider feature updates to solidify its reputation as the Elegant Athlete of the scooter world. The Burgman 400’s slim and sharp styling now features a new Metallic Matte Sword Silver paint scheme that combines with blue wheels and stitching on the seat that pay homage to Suzuki’s on-road sporting heritage."
"4,841 miles","$16,499 ",Hayabusa,  2022 Suzuki Sportbike,"Hayabusa… Famed for its abundant power, agility and majestic presence. Legendary for establishing new levels of ultimate sport performance, and for retaining the number one position for the past two decades in the class it created. The 2022 Hayabusa delivers an even smoother ride and nimbler handling via reimagined electronic systems that optimize performance making it more controllable, predictable, and reliable."
"1,473 miles","$8,799 ",C50 BOULEVARD 800,  2021 Suzuki Touring,
"3,226 miles","$8,499 ",C50T BOULEVARD 800 TOURER C50 T,  2019 Suzuki Touring,
"3,817 miles","$6,999 ",DR-Z400SM,  2018 Suzuki Dual Sport,"Suzuki's SuperMoto DR-Z400SM is based on the proven DR-Z400S so it combines Supermotard style and features in a narrow, lightweight street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or glide through commuter traffic. Its 398cc liquid-cooled, four-stroke engine provides strong low-rpm torque and crisp throttle response for any of these occasions. Key difference between the DR-Z400SM and the DR-Z400S are the inverted front fork, wide, spoke-style wheels, and 300mm diameter floating front brake rotor. The inverted fork contributes to less unsprung weight and improved overall handling, while the large brake and wider rims with high-grip tires offer an exhilarating sportbike experience."
"15,090 miles","$9,690 ",GSX-R600,  2018 Suzuki Sportbike,**CALL or TEXT 608-289-0320!!**
"35,034 miles","$12,495 ",Hayabusa,  2017 Suzuki Sportbike,2017 Hayabusa>>FULL BROCKS EXHAUST!!! ONE OWNER!!! EXCELENT CONDITION!!!
"17,067 miles","$8,500 ",GSX-R600™,  2013 Suzuki Sportbike,Schedule a test ride today!
"11,206 miles","$6,990 ",Boulevard C109R C109RTK8,  2008 Suzuki Cruiser,Boulevard C109R
"29,568 miles","$3,885 ",VL800 INTRUDER VOLUSIA 800,  2003 Suzuki Touring,
"38,692 miles","$2,995 ",VL800 INTRUDER 800 VOLUSIA,  2001 Suzuki Touring,
"36,685 miles","$1,885 ",VZ800 MARAUDER 800,  1999 Suzuki Touring,
"20,488 miles","$1,985 ",VS700GL INTRUDER 700 1400,  1987 Suzuki Touring,
,"$3,499 ",DR-Z125L,New 2023 Suzuki Dirt Bike,"Here comes the DR-Z125L to make sure young and smaller stature riders can tackle the dirt. Larger 19-inch front and 16-inch rear tires, as well as a front disc brake, deliver big bike performance to a size-appropriate motorcycle. Here’s the perfect platform to build essential riding skills upon, as the DR-Z125L has a true manual clutch and a five-speed transmission so riders can develop these skills as they advance within the sport of motorcycling. Styled to mirror Suzuki’s Championship-winning RM-Z and RMX models, this DR-Z arrives with a race-oriented look, while the sharp handling and strong low-end and mid-range power provide the get-up-and-go that defines off-road bikes. The bike’s race ready looks prove you can’t judge a book by its cover, because the DR-Z125L is an unassuming, easy to ride package packed with loads of fun."
,"$3,499 ",DR-Z125L,New 2023 Suzuki Dirt Bike,"Here comes the DR-Z125L to make sure young and smaller stature riders can tackle the dirt. Larger 19-inch front and 16-inch rear tires, as well as a front disc brake, deliver big bike performance to a size-appropriate motorcycle. Here’s the perfect platform to build essential riding skills upon, as the DR-Z125L has a true manual clutch and a five-speed transmission so riders can develop these skills as they advance within the sport of motorcycling. Styled to mirror Suzuki’s Championship-winning RM-Z and RMX models, this DR-Z arrives with a race-oriented look, while the sharp handling and strong low-end and mid-range power provide the get-up-and-go that defines off-road bikes. The bike’s race ready looks prove you can’t judge a book by its cover, because the DR-Z125L is an unassuming, easy to ride package packed with loads of fun."
,"$17,120 ",Hayabusa,New 2023 Suzuki Sportbike,CALL SALES 920-788-0220
3 miles,"$7,399 ",SV650,New 2023 Suzuki Sportbike,"Suzuki riders struck motorcycling gold when the first SV650 debuted in 1999. Since then, this iconic motorcycle has seen continual improvements while still embodying the sporty personality that only a lively, mid-sized V-twin roadster can deliver. The 2023 SV650 has a refined powerplant that provides surprising performance with low emissions and outstanding fuel economy, mounted in a trim and lightweight chassis that delivers a sporty, exciting ride."
,"$7,799 ",DR-Z400SM,New 2023 Suzuki Dual Sport,"Suzuki's 2023 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
3 miles,"$12,849 ",GSX-R750,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985. Today, the 2023 GSX-R750 continues Suzuki’s tradition of building Supersport bikes powered by a strong engine carried in a lightweight and nimble chassis."
3 miles,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
3 miles,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
3 miles,"$11,699 ",GSX-R600,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and later expanded GSX-R lineage with the addition of the GSX-R600. The 2023 GSX-R600 embodies Suzuki’s tradition of blending race-winning capability with impeccable street manners."
,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
345 miles,"$7,799 ",DR-Z400SM,  2023 Suzuki Dual Sport,"Suzuki's 2023 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
,"$7,099 ",DR-Z400S,New 2023 Suzuki Dual Sport,"The 2023 DR-Z400S is the latest version of the motorcycle that is the foundation of the modern DualSport movement. Starting with the DR350S and then again with the DR-Z400S, Suzuki makes fun, dependable, and capable motorcycles available to anyone who is ready to take a ride down their favorite off-road trail or ribbon of asphalt."
,"$7,099 ",DR-Z400S,New 2023 Suzuki Dual Sport,"The 2023 DR-Z400S is the latest version of the motorcycle that is the foundation of the modern DualSport movement. Starting with the DR350S and then again with the DR-Z400S, Suzuki makes fun, dependable, and capable motorcycles available to anyone who is ready to take a ride down their favorite off-road trail or ribbon of asphalt."
3 miles,"$7,849 ",SV650 ABS,New 2023 Suzuki Sportbike,"Suzuki riders struck motorcycling gold when the first SV650 debuted in 1999. Since then, this iconic motorcycle has seen continual improvements while still embodying the sporty personality that only a lively, mid-sized V-twin roadster can deliver. The 2023 SV650 ABS has a polished powerplant that provides surprising performance with low emissions and outstanding fuel economy, mounted in a trim and lightweight chassis that delivers a sporty, exciting ride."
323 miles,"$16,999 ",Hayabusa,  2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
,"$18,199 ",GSX-R1000R,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and then created another milestone in 2001 with the introduction of the GSX-R1000. Using the lithe chassis of the GSX-R750 and a 988cc inline four-cylinder engine design that Suzuki is renowned for, liter-class Superbike performance became available to riders everywhere."
3 miles,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
,"$12,849 ",GSX-R750,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985. Today, the 2023 GSX-R750 continues Suzuki’s tradition of building Supersport bikes powered by a strong engine carried in a lightweight and nimble chassis."
1 miles,"$8,599 ",Burgman 400,New 2023 Suzuki Scooter,2023 Burgman 400
252 miles,"$7,249 ",SV650,  2022 Suzuki Sportbike,"Suzuki riders struck motorcycling gold when the first SV650 debuted in 1999. Since then, this iconic motorcycle has seen continual improvements while still embodying the sporty personality that only a lively, mid-sized V-twin roadster can deliver. The 2022 SV650 has a refined powerplant that provides surprising performance with low emissions and outstanding fuel economy, mounted in a trim and lightweight chassis that delivers a sporty, exciting ride."
"13,025 miles","$11,499 ",GSX-R600,  2022 Suzuki Sportbike,"In 1985, Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750, and later expanded GSX-R lineage with the addition of the GSX-R600. The 2022 GSX-R600 encapsulates Suzuki’s tradition of blending race-winning capability with impeccable street manners."
,"$7,899 ",RM-Z250,New 2022 Suzuki Dirt Bike,"The choice of wise professionals and privateers everywhere, the 2022 RM-Z250 is ready for battle. The agile RM-Z250 combines the sleek, race-ready appearance of the RM-Z450 with a versatile engine and responsive chassis to deliver superior performance. Using Suzuki’s “RUN, TURN, and STOP” philosophy, factory engineers have made the RM-Z250 a formidable competitor."
,"$7,999 ",GSX-S750,New 2022 Suzuki Sportbike,"The GSX-S750 blends GSX-R750-derived engine performance with an ergonomically sound chassis to fashion a naked sportbike that gathers attention everywhere you ride it, thanks to its aggressive appearance. The 2022 GSX-S750’s Metallic Matte Black bodywork is complemented by a blacked-out engine, wheels, and select chassis components. Aggressive styling, strong performance, and comfortable riding posture set the GSX-S750 apart from other middleweight sportbikes, and many of those competitors cost considerably more to purchase and own."
,"$8,949 ",GSX-S750Z ABS,New 2022 Suzuki Sportbike,"The GSX-S750Z ABS blends GSX-R750-derived engine performance with an ergonomically sound chassis to fashion a naked sportbike that gathers attention everywhere you ride it, thanks to its aggressive appearance. The 2022 GSX-S750Z ABS’s striking Metallic Triton Blue and Glass Sparkle Black bodywork is complemented by a blacked-out engine and select chassis components. Fluorescent yellow logos and graphics on the bodywork and wheels accent the GSX-S750Z ABS’s aggressive styling. Strong performance, and comfortable riding posture set the GSX-S750Z ABS apart from other middleweight..."
,"$4,999 ",Burgman 200,New 2022 Suzuki Scooter,"Everything you thought you knew about smart commuting and exciting riding is about to change. Taking advantage of Suzuki's advanced technology, the compact Burgman 200 has everything you need and more. The liquid-cooled, fuel-injected, SOHC engine is tuned for optimal performance at the low- and mid-range revs   most for commuting and exploring around town. The fully automatic transmission seamlessly puts down power by a simple twist of the wrist. Smooth is what you feel. Quiet is what you hear. And power and fuel efficiency are your rewards. Plush double-stitched seating and specially designed cutaway floorboards provide comfort second to none. The Burgman also features a huge storage compartment large enough for two full-face helmets. From its sleek Metallic Matte Stellar Blue bodywork and aerodynamic windscreen to its smooth and reliable, 200cc engine, the 2022 Burgman 200 is the smart choice for scooters."
,"$11,299 ",GSX-S1000,New 2022 Suzuki Sportbike,"The GSX-S1000 launched in 2015 as a new model developed to bring the fun of sport riding to riders on the street. At its heart was a street-tuned version of the powerful long-stroke engine that carried the GSX-R1000 to countless superbike and endurance race victories. This engine was skillfully paired with a compact and lightweight chassis, state-of-the-art running gear and a comfortable upright riding position. Just as the GSX-R1000 was built to “own the racetrack”, the GSX-S1000 was created to “own the street”."
,"$7,599 ",DR-Z400SM,New 2022 Suzuki Dual Sport,"Suzuki's SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
3 miles,"$8,949 ",GSX-S750Z ABS,New 2022 Suzuki Sportbike,"The GSX-S750Z ABS blends GSX-R750-derived engine performance with an ergonomically sound chassis to fashion a naked sportbike that gathers attention everywhere you ride it, thanks to its aggressive appearance. The 2022 GSX-S750Z ABS’s striking Metallic Triton Blue and Glass Sparkle Black bodywork is complemented by a blacked-out engine and select chassis components. Fluorescent yellow logos and graphics on the bodywork and wheels accent the GSX-S750Z ABS’s aggressive styling. Strong performance, and comfortable riding posture set the GSX-S750Z ABS apart from other middleweight..."
453 miles,"$11,499 ",GSX-R750,  2020 Suzuki Sportbike,"Over three decades ago, Suzuki revolutionized sportbikes with the introduction of the GSX-R750. Ever since then, the GSX-R750 has remained true to its original concept and championship-winning heritage. On the road or on the track, the GSX-R750 delivers a breathtaking combination of outstanding engine performance, crisp handling, compact size, and light weight. Its secret is an unequaled pairing of 750cc performance with the lightweight, compact chassis of a 600cc Supersport, complemented by technologically advanced suspension front and rear. Try a GSX-R750 and you’ll quickly realize this motorcycle defines performance riding from the center of the sportbike class."
"3,849 miles","$13,793 ",V-Strom 1050XT,  2020 Suzuki Dual Sport,Introducing the new generation 2020 V-STROM 1050XT. The latest entry into the V-STROM legend is here to help you escape into the wilderness and explore to your heart’s content. A sleek look with the latest features allows for a smooth and comfortable ride. Limitless potential is engineered in so you can continue your adventure without pause.
"1,178 miles","$4,392 ",GSX250R,  2019 Suzuki Sportbike,"The 2019 GSX250R is a fully faired street machine that brings the excitement and riding satisfaction of Suzuki’s sportbike heritage to a broader audience. Built to introduce Suzuki fun and reliability to new riders, this sportbike has smart performance, engaging styling, and comfort features that will appeal to a broad base of enthusiasts."
221 miles,"$5,999 ",Boulevard S40,  2019 Suzuki Cruiser,"The Suzuki Boulevard S40 takes a timeless single cylinder design, with a blacked out treatment, and adds a shot of advanced Suzuki technology to create a bike that combines exciting performance and a bold appearance with rock-solid reliability. It features a strong, rigid chassis for agile handling and lightweight responsiveness that makes it great for cruising down the boulevard or beyond the city limits. Best of all, one twist of the throttle rewards you with a strong blast torque from the 40 cubic inch engine."
"2,802 miles","$15,698 ",GSX-R1000 ABS,  2018 Suzuki Sportbike,"It has been three decades, with more than a million editions sold, since the GSX-R line was born. And a decade and a half has elapsed since the first GSX-R1000 transformed the open sportbike class forever. Built to Own the Racetrack, the GSX-R1000 captured the MotoAmerica Superbike Championship in its debut year asserting its claim as The King of Sportbikes."
"1,403 miles","$7,991 ",V-Strom 650XT,  2018 Suzuki Dual Sport,
"1,930 miles","$6,491 ",DR-Z400S,  2018 Suzuki Dual Sport,"The 2018 DR-Z400S is ideal for taking a ride down your favorite off-road trail or ribbon of asphalt. You'll be impressed with the amount of torque coming from the 398cc liquid-cooled power plant as well as the crisp handling from the adjustable suspension. This ultra-reliable bike is completely street legal with an electric start and easy-to-read instrument cluster. New solid white bodywork with bold, contrasting gun-metal graphics makes the bike stand out on the road, on the trail, or even parked. Whether you're on the highway or on a twisty forest path, the Suzuki DR-Z400S can't be beat."
"2,999 miles","$10,591 ",V-Strom 1000,  2018 Suzuki Dual Sport,"Introduced in 2002, the V-Strom 1000 expanded the popularity of motorcycles in the adventure-category. When a more proficient V-Strom 1000 debuted in 2014, it was also embraced by riders around the world. To reemphasize the V-Strom’s leadership in this category, Suzuki applies new technology and practical experience to the new 2018 V-Strom 1000."
"5,084 miles","$8,880 ",GSX- S1000F ABS,  2017 Suzuki Sportbike,"As much as a GSX-R1000 owns the racetrack, the GSX-S1000F ABS owns the road. Developed using the attributes of the championship winning 2005 2008 generation GSX-R1000, this touring-ready sportbike carries the spirit of the Suzuki performance to the street, with shared technology and components packaged into a chassis designed specifically for all-day riding comfort."
"2,938 miles","$5,999 ",GSX-S750,  2015 Suzuki Standard,"The original Suzuki GSX-R750 was designed as a street-legal bike that was born on the circuit. The 2015 Suzuki GSX-S750 gives that championship-winning heritage even more street-smart performance. Blending just the right mix of modern sportbike performance with futuristic streetbike style, this 750 is purpose-built for excitement."
"43,073 miles","$6,890 ",V-Strom 1000 ABS Adventure,  2014 Suzuki Sport Touring,"When size, weight, power, and maneuverability come into balance, you find yourself in a zone where time just disappears. Stay the course because there is no road the all-new V-Strom 1000 ABS Adventure was not made to conquer. This motorcycle makes the journey of life seamless. Conquer city traffic as easily you scale mountains. Roar down new highways. Explore your taste for discovery on roads long untraveled. Starting now, the planet is your neighborhood."
"39,523 miles","$4,999 ",Boulevard C90T,  2005 Suzuki Cruiser,Boulevard C90T
,"$12,949 ",GSX-R750Z,New 2023 Suzuki Standard,
3 miles,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
3 miles,"$11,699 ",GSX-R600,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and later expanded GSX-R lineage with the addition of the GSX-R600. The 2023 GSX-R600 embodies Suzuki’s tradition of blending race-winning capability with impeccable street manners."
3 miles,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
,"$8,999 ",RM-Z450,New 2023 Suzuki Dirt Bike,"The 2023 RM-Z450 remains the champion’s choice, as its sleek, race-ready appearance, strong engine, and nimble chassis continue the Suzuki tradition of extraordinarily precise handling."
3 miles,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
2 miles,"$8,398 ",RM-Z250,New 2023 Suzuki Dirt Bike,"The choice of wise professionals and privateers everywhere, the 2023 RM-Z250 is ready for battle. The agile RM-Z250 combines the sleek, race-ready appearance of the RM-Z450 with a versatile engine and responsive chassis to deliver superior performance. Using Suzuki’s “RUN, TURN, and STOP” philosophy, factory engineers have made the RM-Z250 a formidable competitor."
3 miles,"$7,099 ",DR-Z400S,New 2023 Suzuki Dual Sport,"The 2023 DR-Z400S is the latest version of the motorcycle that is the foundation of the modern DualSport movement. Starting with the DR350S and then again with the DR-Z400S, Suzuki makes fun, dependable, and capable motorcycles available to anyone who is ready to take a ride down their favorite off-road trail or ribbon of asphalt."
,"$2,999 ",DR-Z125L,New 2023 Suzuki Dirt Bike,"Price does not include tax, fees or dealer added accessories"
,"$8,999 ",RM-Z450,New 2023 Suzuki Dirt Bike,"The 2023 RM-Z450 remains the champion’s choice, as its sleek, race-ready appearance, strong engine, and nimble chassis continue the Suzuki tradition of extraordinarily precise handling."
,"$8,599 ",Burgman 400,New 2023 Suzuki Scooter,"Known as the Elegant Athlete of the scooter world, the 2023 Suzuki Burgman 400 has a unmatched collection of styling, technical, and rider features that affirms its dominance over its competitors. The slim and sharp styling is coated with a new Solid Iron Gray paint scheme with blue wheels that further emphasize the Burgman’s luxury performance appearance."
3 miles,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
,"$11,499 ",GSX-S1000,New 2023 Suzuki Sportbike,"The 2023 GSX-S1000 establishes the performance standard for naked sportbikes by providing superb controllability, agility, and power for an exciting and rewarding riding experience, while complying with worldwide emissions standards. A long-stroke GSX-R1000 engine and nimble chassis combine with sharp, angular styling that hone the GSX-S1000 into an even tighter and more striking package that is ready to turn heads and own the streets."
3 miles,"$11,699 ",GSX-R600,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and later expanded GSX-R lineage with the addition of the GSX-R600. The 2023 GSX-R600 embodies Suzuki’s tradition of blending race-winning capability with impeccable street manners."
,"$7,399 ",SV650,New 2023 Suzuki Sportbike,"Suzuki riders struck motorcycling gold when the first SV650 debuted in 1999. Since then, this iconic motorcycle has seen continual improvements while still embodying the sporty personality that only a lively, mid-sized V-twin roadster can deliver. The 2023 SV650 has a refined powerplant that provides surprising performance with low emissions and outstanding fuel economy, mounted in a trim and lightweight chassis that delivers a sporty, exciting ride."
,"$6,999 ",RM-Z250,New 2023 Suzuki Dirt Bike,"The choice of wise professionals and privateers everywhere, the 2023 RM-Z250 is ready for battle. The agile RM-Z250 combines the sleek, race-ready appearance of the RM-Z450 with a versatile engine and responsive chassis to deliver superior performance. Using Suzuki’s “RUN, TURN, and STOP” philosophy, factory engineers have made the RM-Z250 a formidable competitor."
