mileage,price,Bike,Types and Used Time,description
,"$12,949 ",890 Duke R,New 2023 KTM Sportbike,"2023 KTM 890 Duke R, This 2023 KTM Duke 890 R has a slip on Akrapovic exhaust for an additional price. Call (904) 328 - 7651 for more information  2023 KTM 890 Duke R"
,"$12,999 ",690 Enduro R,New 2023 KTM Dirt Bike,"2023 KTM 690 Enduro R, 2023 KTM 690 Enduro R / STOCK # TN4952"
,"$12,999 ",690 Enduro R,New 2023 KTM Standard,
,"$9,199 ",790 Duke,New 2023 KTM Sportbike,"2023 KTM 790 Duke, 2023 KTM 790 Duke"
,"$5,097 ",65 SX,New 2023 KTM Mx,
,"$12,999 ",690 Enduro R,New 2023 KTM Standard,"Ride from home and feel the adrenaline build while chasing tarmac curves towards your favourite offroad location. No trailer required just twist the throttle of the KTM 690 ENDURO R, which really comes into its own when the dirt begins and the trail gets more extreme. Its lightweight chassis, aggressive styling, and trusted 690 LC4 motor, are enhanced by the latest electronics and WP XPLOR suspension. Master more challenging terrain on this lightweight, high-performance king of versatility."
,"$12,999 ",690 SMC R ENDURO R,New 2023 KTM Competition,
,"$12,099 ",450 SX-F Factory Edition,New 2023 KTM Mx,
,"$12,999 ",690 SMC R ENDURO R,New 2023 KTM Competition,"The KTM 690 SMC R raises the bar in the supermotos stakes, thanks in part to a lightweight chassis, a legendary 690 LC4 motor and a sophisticated electronics package. Whether you express your tarmac-sliding talent on mountain roads or on the apexes of your favourite track, you'll be drifting into the future with a maxed-out grin and your veins coursing with adrenaline. Handling is enhanced by the latest fully-adjustable WP APEX suspension, so all you have to worry about is focusing on the road ahead and twisting the throttle to the stoppers."
,"$4,997 ",SX-E 5,New 2023 KTM Mx,
,"$11,299 ",300 XC,New 2024 KTM Dirt Bike,
,"$10,999 ",250 XC,New 2024 KTM Dirt Bike,
,"$8,099 ",125 SX,New 2024 KTM Mx,
,"$8,099 ",125 SX,New 2024 KTM Mx,"All it takes is one hard, fast rip into a loamy berm to know that the 2024 KTM 125 SX is a serious contender in the 125 cc race. Not only has the 'Ring-ting-ting' been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. Boasting accolades such as being the leader in 2-stroke motocross innovation in the modern era, the 2024 KTM 125 SX simply slays the rest of the 125 cc class. All you need do is prod the starter, blip the throttle and let rip."
,"$11,899 ",450 XC-F,New 2024 KTM Dirt Bike,
,"$10,199 ",250 SX-F,New 2024 KTM Mx,
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,
1 miles,"$10,199 ",250 SX-F,New 2024 KTM Mx,"The 2024 KTM 250 SX-F continues its assault on the highly-competitive 250 cc class. Featuring a truly user-friendly package engineered to satisfy all riders, from novice to pro, it continues the trend of being undisputedly READY TO RACE at any level. Delivering a knock-out power-punch of over 47 hp, more stability in a straight line, and with more electronic upper cuts in the bag, the 2024 KTM 250 SX-F is ready to take on the 250 cc class and dominate it."
3 miles,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
,"$10,599 ",250 XC-F,New 2024 KTM Dirt Bike,"The 2024 KTM 250 XC-F continues its assault on the highly-competitive 250 cc class, making its presence known with its incredible 14,000 RPM limit. Featuring a truly user-friendly package engineered to satisfy all riders, from novice to pro, it continues the trend of being undisputedly READY TO RACE. An all-new WP XACT Close Cartridge spring fork, new rear shock settings, better electronics, and unmatched performance, mean the 2024 KTM 250 XC-F is ready to take on the 250 cc class and dominate it."
,"$11,899 ",450 XC-F,New 2024 KTM Dirt Bike,
,"$10,599 ",250 XC-F,New 2024 KTM Dirt Bike,
,"$10,999 ",250 XC,New 2024 KTM Dirt Bike,
,"$8,099 ",125 SX,New 2024 KTM Mx,
,"$10,199 ",250 SX-F,New 2024 KTM Mx,"The 2024 KTM 250 SX-F continues its assault on the highly-competitive 250 cc class. Featuring a truly user-friendly package engineered to satisfy all riders, from novice to pro, it continues the trend of being undisputedly READY TO RACE at any level. Delivering a knock-out power-punch of over 47 hp, more stability in a straight line, and with more electronic upper cuts in the bag, the 2024 KTM 250 SX-F is ready to take on the 250 cc class and dominate it."
,"$8,099 ",125 SX,New 2024 KTM Mx,"All it takes is one hard, fast rip into a loamy berm to know that the 2024 KTM 125 SX is a serious contender in the 125 cc race. Not only has the 'Ring-ting-ting' been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. Boasting accolades such as being the leader in 2-stroke motocross innovation in the modern era, the 2024 KTM 125 SX simply slays the rest of the 125 cc class. All you need do is prod the starter, blip the throttle and let rip."
,"$11,899 ",450 XC-F,New 2024 KTM Dirt Bike,"The 2024 KTM 450 XC-F rolls into the pits already armed with the learnings of past championships, blistering with an arsenal of fresh weaponry like all-new Close Cartridge spring forks and dedicated cross-country settings. Being the leading 4-Stroke in the Cross Country division for years, the KTM 450 XC-F once again brings its undeniable READY TO RACE spirit to the starting line with a relentless assault on the podium. With its proven track record, sledgehammer-like power, and insane handling, it can only mean one thing - it's time to extend the trophy room."
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
,"$8,099 ",125 SX,New 2024 KTM Mx,"All it takes is one hard, fast rip into a loamy berm to know that the 2024 KTM 125 SX is a serious contender in the 125 cc race. Not only has the 'Ring-ting-ting' been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. Boasting accolades such as being the leader in 2-stroke motocross innovation in the modern era, the 2024 KTM 125 SX simply slays the rest of the 125 cc class. All you need do is prod the starter, blip the throttle and let rip."
1 miles,"$11,299 ",300 XC,New 2024 KTM Dirt Bike,
1 miles,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,
,"$8,099 ",125 SX,New 2024 KTM Mx,"All it takes is one hard, fast rip into a loamy berm to know that the 2024 KTM 125 SX is a serious contender in the 125 cc race. Not only has the 'Ring-ting-ting' been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. Boasting accolades such as being the leader in 2-stroke motocross innovation in the modern era, the 2024 KTM 125 SX simply slays the rest of the 125 cc class. All you need do is prod the starter, blip the throttle and let rip."
,"$10,199 ",250 SX-F,New 2024 KTM Mx,"The 2024 KTM 250 SX-F continues its assault on the highly-competitive 250 cc class. Featuring a truly user-friendly package engineered to satisfy all riders, from novice to pro, it continues the trend of being undisputedly READY TO RACE at any level. Delivering a knock-out power-punch of over 47 hp, more stability in a straight line, and with more electronic upper cuts in the bag, the 2024 KTM 250 SX-F is ready to take on the 250 cc class and dominate it."
,"$10,999 ",250 XC,New 2024 KTM Dirt Bike,"For decades, the 250 cc 2-stroke cross country class has been at the forefront of pure unadulterated performance. It is epitomized by sweet-smelling 2-Stroke smoke, top-end powerbands and rocketship-like acceleration. The 2024 KTM 250 XC continues that trend thanks to a container-load of cutting-edge advancements across the board, like an all-new closed cartridge spring fork and cross country specific suspension settings, steps this 2-Stroke legend up, and even further out of reach of the competition."
,"$10,199 ",250 SX-F,New 2024 KTM Mx,
,"$10,199 ",250 SX-F,New 2024 KTM Mx,
,"$11,899 ",450 XC-F,New 2024 KTM Dirt Bike,
,"$10,999 ",250 XC,New 2024 KTM Dirt Bike,"For decades, the 250 cc 2-stroke cross country class has been at the forefront of pure unadulterated performance. It is epitomized by sweet-smelling 2-Stroke smoke, top-end powerbands and rocketship-like acceleration. The 2024 KTM 250 XC continues that trend thanks to a container-load of cutting-edge advancements across the board, like an all-new closed cartridge spring fork and cross country specific suspension settings, steps this 2-Stroke legend up, and even further out of reach of the competition."
3 miles,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
3 miles,"$8,099 ",125 SX,New 2024 KTM Mx,"All it takes is one hard, fast rip into a loamy berm to know that the 2024 KTM 125 SX is a serious contender in the 125 cc race. Not only has the 'Ring-ting-ting' been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. Boasting accolades such as being the leader in 2-stroke motocross innovation in the modern era, the 2024 KTM 125 SX simply slays the rest of the 125 cc class. All you need do is prod the starter, blip the throttle and let rip."
3 miles,"$10,999 ",250 XC,New 2024 KTM Dirt Bike,"For decades, the 250 cc 2-stroke cross country class has been at the forefront of pure unadulterated performance. It is epitomized by sweet-smelling 2-Stroke smoke, top-end powerbands and rocketship-like acceleration. The 2024 KTM 250 XC continues that trend thanks to a container-load of cutting-edge advancements across the board, like an all-new closed cartridge spring fork and cross country specific suspension settings, steps this 2-Stroke legend up, and even further out of reach of the competition."
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,
,"$11,299 ",300 XC,New 2024 KTM Dirt Bike,
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
,"$10,199 ",250 SX-F,New 2024 KTM Mx,
,"$10,999 ",250 XC,New 2024 KTM Dirt Bike,"For decades, the 250 cc 2-stroke cross country class has been at the forefront of pure unadulterated performance. It is epitomized by sweet-smelling 2-Stroke smoke, top-end powerbands and rocketship-like acceleration. The 2024 KTM 250 XC continues that trend thanks to a container-load of cutting-edge advancements across the board, like an all-new closed cartridge spring fork and cross country specific suspension settings, steps this 2-Stroke legend up, and even further out of reach of the competition."
,"$11,299 ",300 XC,New 2024 KTM Dirt Bike,
1 miles,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
1 miles,"$10,199 ",250 SX-F,New 2024 KTM Mx,"The 2024 KTM 250 SX-F continues its assault on the highly-competitive 250 cc class. Featuring a truly user-friendly package engineered to satisfy all riders, from novice to pro, it continues the trend of being undisputedly READY TO RACE at any level. Delivering a knock-out power-punch of over 47 hp, more stability in a straight line, and with more electronic upper cuts in the bag, the 2024 KTM 250 SX-F is ready to take on the 250 cc class and dominate it."
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
,"$8,399 ",125 XC,New 2024 KTM Dirt Bike,"Nothing beats the top end scream of a 125 cc 2-stroke machine being ridden to the limit - and the 2024 KTM 125 XC is happy to oblige. Not only has the smallest caliber bullet in the XC range been given a fuel-injected revival, but the entire motorcycle also benefits from class-leading developments at every end. A closed cartridge fork, cross country specific suspension settings, along with big torque, smart tech and most importantly, bucket-loads of 'Braaaap!' make the KTM 125 XC is the leader in 2-Stroke cross country innovation for the modern era."
,"$8,099 ",125 SX,New 2024 KTM Mx,
10 miles,"$5,799 ",RC 390,New 2022 KTM Standard,"2022 KTM RC 390,"
172 miles,"$6,570 ",390 Adventure,  2022 KTM Standard,"2022 KTM 390 Adventure,"
,"$9,799 ",890 Duke,New 2022 KTM Sportbike,"2022 KTM 890 Duke, OR 3.99% financing for 60 months (for qualifying buyers)  2022 KTM 890 Duke"
595 miles,"$7,999 ",390 Adventure,  2022 KTM Standard,
,"$9,799 ",890 Duke,New 2022 KTM Sportbike,"2022 KTM 890 Duke, OR 3.99% financing for 60 months (for qualifying buyers)  2022 KTM 890 Duke"
,"$9,799 ",890 Duke,New 2022 KTM Sportbike,"2022 KTM 890 Duke, OR 3.99% financing for 60 months (for qualifying buyers)  2022 KTM 890 Duke"
1 miles,"$8,099 ",125 XC,New 2022 KTM Dirt Bike,
"3,051 miles","$3,999 ",200 Duke,  2022 KTM Sportbike,"2022 KTM 200 Duke, 2022 KTM 200 Duke"
1 miles,"$9,899 ",890 Duke GP,New 2022 KTM Sportbike,"2022 KTM 890 Duke GP, ""Easy Financing Available, Just Click ""Get Financing""    New 2022 KTM 890 Duke R Motorcycle For Sale In Myrtle Beach, SC  RedLine Powersports Myrtle Beach"
70 miles,"$7,495 ",350 SX-F,New 2022 KTM Dirt Bike,
53 miles,"$8,797 ",450 SX-F,  2022 KTM Mx,
,"$4,999 ",RC 390,New 2022 KTM Sportbike,
,"$10,990 ",450 SMR,  2021 KTM Standard,"2021 KTM 450 SMR,"
59 miles,"$7,499 ",350 SX-F,  2021 KTM Competition,"2021 KTM 350 SX-F, *Pre-owned vehicles do not come with factory warranties out of expiration, or factory promotional parts or accessories not shown in the pictures.- FULL YOSHIMURA EXHAUST- SEAT CONCEPTS- AXLE BLOCKS- DISC GUARD   Engine & Exhaust"
40 miles,"$8,999 ",250 SX-F,  2021 KTM Competition,"2021 KTM 250 SX-F, 40 HOURS   Engine & Exhaust"
"1,658 miles","$12,982 ",890 Adventure R,  2021 KTM Standard,
,"$8,694 ",450 SX-F,  2021 KTM Dirt Bike,"2021 KTM 450 SX-F, 2021 KTM 450 SX-F"
"2,963 miles","$9,499 ",790 Duke,  2020 KTM Sportbike,"2020 KTM 790 Duke, 2020 KTM 790 DukeBe a smart buyer and shop with the little guys! LOW overhead = LOW prices! NO freight or fuel fees! NO set up fees! Prime time riding weather is here! Here at SS Cycle we have dropped our already low prices even lower to prices that won't be beat! With all of our UTVs being clean title and having a full 360 degree inspection done by our on site professional technician to ensure our units are safe and ready to go, now is the time to see why working with a 24 year Family Owned & Operated Broker will save you time and money! See last photo for inspection check list!ONLY 2,963 miles! This KTM comes equipped with a 799cc engine, 6-speed transmission, fuel injection, liquid cooled, chain driven, disc brakes, dual front calipers, ABS, WP inverted front forks, black color scheme, orange mag wheels, black rider seat, black passenger pad, passenger pegs, mid rider controls, bar mounted digital information screen, locking gas cap, and more! Come in and check it out today!We are located at 2070 Wall Ave, Ogden UT 84401.For more information please contact: Cameron 801-645-7880, Kobe 801-452-1228, Kooper 801-710-0378, or our Sales Dept at 801-334-6688. We have the best financing and customer service available.Visit our website at www.ssautobrokers.com to see all of our inventory including cars/trucks/bikes/powersports/RV's/boats & more! WE TAKE ALMOST ANYTHING IN ON TRADE!Engine and transmissionDisplacement 799.0 ccm (48.75 cubic inches)Engine type Twin, four-strokePower 105.0 HP (76.6 kW))Torque 87.0 Nm (8.9 kgf-m or 64.2 ft.lbs)Bore x stroke 88.0 x 65.7 mm (3.5 x 2.6 inches)Fuel system InjectionIgnition Bosch EMS with RBWLubrication system Forced oil lubrication with 2 oil pumpsCooling system LiquidGearbox 6-speedTransmission type Chain (final drive)Clutch PASC™ antihopping clutch, mechanically operatedChassis, suspension, brakes and wheelsFrame type Chromium-Molybdenum-Steel frame using the engine as stressed element, powder coatedRake (fork angle) 24.0°Front suspension WP upside-downFront wheel travel 140 mm (5.5 inches)Rear suspension WP shock absorber with Pro-Lever linkageRear wheel travel 150 mm (5.9 inches)Front brakes Double disc. ABSDiameter 300 mm (11.8 inches)Rear brakes Single disc. ABSDiameter 240 mm (9.4 inches)Wheels Maxxis Supermaxx ST tiresPhysical measures and capacitiesDry weight 169.0 kg (372.6 pounds)Power/weight ratio 0.6213 HP/kgSeat height 825 mm (32.5 inches) If adjustable, lowest setting.Ground clearance 186 mm (7.3 inches)Wheelbase 1475 mm (58.1 inches)Fuel capacity 14.00 litres (3.70 US gallons)Reserve fuel capacity 4.40 litres (1.16 US gallons)"
"3,074 miles","$10,995 ",790 Adventure,  2020 KTM Sport Touring,"2020 KTM 790 Adventure, This KTM also has added KTM side cases and top case.  2020 KTM 790 Adventure"
"12,365 miles","$10,499 ",790 Duke,  2020 KTM Sportbike,"2020 KTM 790 Duke, 2020 KTM 790 Duke"
,"$7,599 ",250 XC,  2019 KTM Competition,"2019 KTM 250 XC, Unrivaled 2-Stroke Performance: With enough power to excel on all sorts of tracks and terrain, combined with an extremely lightweight chassis, the 250 XC has one of the best power-to-weight ratios in its class. The unrivalled performance of the lightweight 2-stroke engine makes it a true contender against the more complex 4-strokes. **Financing Available***Price shown is based on selling price average retail value. Excludes Manufacturer warranty Selling price excludes optional accessories, applicable taxes, installation, setup and/or other dealer costs*   Engine & Exhaust"
,"$8,499 ",450 XC-F,  2019 KTM Dirt Bike,"2019 KTM 450 XC-F, 2019 KTM 450 XC-F"
"4,718 miles","$9,999 ",690 SMC R ENDURO R,  2019 KTM Competition,
"20,798 miles","$15,599 ",1290 SUPER ADVENTURE,  2018 KTM Dual Sport,"2018 KTM 1290 SUPER ADVENTURE, True adventure takes guts, so KTM’s rally experts brought out the big guns and packed 1.301cc, 140 Nm of torque and 160 hp into the world’s most advanced Travel Enduro chassis. This makes for a mile-munching omnivore, ready to carve its name into any terrain – the tougher, the better.**Financing Available***Price shown is based on selling price average retail value. Excludes Manufacturer warranty Selling price excludes optional accessories, applicable taxes, installation, setup and/or other dealer cost*   Engine & Exhaust"
"7,791 miles","$9,998 ",1090 Adventure R,  2018 KTM Sport Touring,"2018 KTM 1090 Adventure R, 2018 KTM 1090 Adventure R"
"26,370 miles","$13,594 ",1290 Super Adventure R,  2017 KTM Sport Touring,"2017 KTM 1290 Super Adventure R, 2017 KTM 1290 Super Adventure R"
"6,519 miles","$13,499 ",1290 Super Duke R,  2017 KTM Sport Touring,"2017 KTM 1290 Super Duke R, 2017 KTM 1290 Super Duke R"
"11,563 miles","$9,999 ",1190 Adventure,  2015 KTM Sport Touring,"2015 KTM 1190 Adventure, BEAUTIFUL ADVENTURE BIKE THAT WILL NOT LAST LONG! AKRAPOVIC EXHAST!CALL US TODAY FOR DETAILS. FINANCING IS AVAILABLE AND WE ACCEPT MOST TRADES.  2015 KTM 1190 Adventure"
"4,437 miles","$14,599 ",1290 Super Adventure,  2015 KTM Standard,
1 miles,"$3,999 ",450 XC,  2007 KTM Dirt Bike,"2007 KTM 450 XC,"
"3,047 miles","$5,500 ",300 XC-W,  2007 KTM Dirt Bike,"2007 KTM 300 XC-W with only 3047 Miles and 172.4 HoursStarts Great, Runs Great. Top End performed 20 hours ago.List of Aftermarket Parts:Rekluse Clutch, Fastway Steering Dampener, TPR Triple Clamp, TuBliss Tubes, Cycra handlebar Guards, FMF Fatty Header (brand new), FMF TurbineCore 2 Silencer, Clarke Desert Fuel Tank 3.5 Gallon, Progressive rear shock spring, Suspension Tuned by Hitchcock for a 200 lb rider, Scotts rear rotor guard, Skid Plate, Radiator Guards, Geomax AT81 Front and Rear Tires, Radiator Temp Gauge, Fresh PlasticSuspension and Triple clamp setup for a 200 lb 6’-1” rider.If AD is up its still available, No Trades."
1 miles,"$12,049 ",500 EXC-F,New 2023 KTM Standard,"2023 KTM 500 EXC-F,"
3 miles,"$12,999 ",690 SMC R ENDURO R,New 2023 KTM Sportbike,"2023 KTM 690 SMC R,"
,"$4,499 ",SX 65,New 2023 KTM Standard,"2023 KTM SX 65,"
,"$13,949 ",890 Adventure,New 2023 KTM Standard,
5 miles,"$9,199 ",790 DUKE,New 2023 KTM Standard,"2023 KTM 790 DUKE, The KTM 790 DUKE is as surgical as its nickname suggests. With the agility you'd expect from a single, combined with the hard-hitting punch of a twin, the KTM 790 DUKE slices up the road with pinpoint precision. With a 799 cc LC8c parallel twin motor - the most compact in its class - nestled into one of the lightest frames around, the KTM 790 DUKE is all about being fast everywhere, with the corners being its playground.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Engine & Exhaust"
5 miles,"$20,299 ",1290 SUPER ADVENTURE S,New 2023 KTM Dual Sport,"2023 KTM 1290 SUPER ADVENTURE S, The KTM 1290 SUPER ADVENTURE S is built to traverse terrain quickly and effortlessly thanks to its powerful engine and efficient cooling system.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Engine & Exhaust"
,"$4,199 ",50 SX MINI,New 2023 KTM Dirt Bike,"2023 KTM 50 SX MINI, The only thing 'mini' about the 2023 KTM 50 SX MINI, is its size. Although small, it is a true READY TO RACE motocross machine, which like its bigger sibling, is produced with top-quality components, real race-bred input, and race-winning legacy. It goes without saying that the KTM 50 SX is the only choice when stepping into the world of MX, bringing even the youngest riders up to the starting gate.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Engine & Exhaust"
5 miles,"$20,299 ",1290 SUPER ADVENTURE S,New 2023 KTM Dual Sport,"2023 KTM 1290 SUPER ADVENTURE S, Covering ground quickly and effortlessly is what the KTM 1290 SUPER ADVENTURE S is made for. An Adventure-specced 1,301 cc V-Twin means that entire cross-country journeys are dispatched easily, while Adaptive Cruise Control and Semi-active Suspension together with reworked rider-focussed ergonomics and technology bring agility and long distance comfort to an entirely new level. It's a bold claim, but we'll make it - the KTM 1290 SUPER ADVENTURE S is the new benchmark.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Engine & Exhaust"
5 miles,"$20,299 ",1290 SUPER ADVENTURE S,New 2023 KTM Dual Sport,"2023 KTM 1290 SUPER ADVENTURE S, Covering ground quickly and effortlessly is what the KTM 1290 SUPER ADVENTURE S is made for. An Adventure-specced 1,301 cc V-Twin means that entire cross-country journeys are dispatched easily, while Adaptive Cruise Control and Semi-active Suspension together with reworked rider-foc  ergonomics and technology bring agility and long distance comfort to an entirely new level. It's a bold claim, but we'll make it - the KTM 1290 SUPER ADVENTURE S is the new benchmark.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Engine & Exhaust"
5 miles,"$13,949 ",890 ADVENTURE,New 2023 KTM Dual Sport,"2023 KTM 890 ADVENTURE, Let's get straight to the point - the KTM 890 ADVENTURE is serious about adventure travel. Updated for 2023, the KTM 890 ADVENTURE brings unmatched rideability on everything from highways to rocky gravel switchbacks. Complete with reworked adjustable suspension, improved seat comfort, and wind protection, the 2023 KTM 890 ADVENTURE is ready to take you to places unknown.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   On Tarmac"
5 miles,"$13,949 ",890 ADVENTURE,New 2023 KTM Dual Sport,"2023 KTM 890 ADVENTURE, Let's get straight to the point - the KTM 890 ADVENTURE is serious about adventure travel. Updated for 2023, the KTM 890 ADVENTURE brings unmatched rideability on everything from highways to rocky gravel switchbacks. Complete with reworked adjustable suspension, improved seat comfort, and wind protection, the 2023 KTM 890 ADVENTURE is ready to take you to places unknown.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   On Tarmac"
5 miles,"$12,999 ",690 ENDURO R,New 2023 KTM Dual Sport,"2023 KTM 690 ENDURO R, Ride from home and feel the adrenaline build while chasing tarmac curves towards your favourite offroad location. No trailer required just twist the throttle of the KTM 690 ENDURO R, which really comes into its own when the dirt begins and the trail gets more extreme. Its lightweight chassis, aggressive styling, and trusted 690 LC4 motor, are enhanced by the latest electronics and WP XPLOR suspension. Master more challenging terrain on this lightweight, high-performance king of versatility.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Engine & Exhaust"
5 miles,"$9,199 ",790 DUKE,New 2023 KTM Standard,"2023 KTM 790 DUKE, The KTM 790 DUKE is as surgical as its nickname suggests. With the agility you'd expect from a single, combined with the hard-hitting punch of a twin, the KTM 790 DUKE slices up the road with pinpoint precision.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Engine & Exhaust"
,"$4,199 ",50 SX MINI,New 2023 KTM Dirt Bike,"2023 KTM 50 SX MINI, The only thing 'mini' about the 2023 KTM 50 SX MINI, is its size. Although small, it is a true READY TO RACE motocross machine, which like its bigger sibling, is produced with top-quality components, real race-bred input, and race-winning legacy. It goes without saying that the KTM 50 SX is the only choice when stepping into the world of MX, bringing even the youngest riders up to the starting gate.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup, and/or other dealer costs.*   Engine & Exhaust"
1 miles,"$9,199 ",790 Duke,New 2023 KTM Sportbike,"2023 KTM 790 Duke, 2023 KTM 790 Duke"
5 miles,"$7,399 ",390 ADVENTURE,New 2023 KTM Dual Sport,"2023 KTM 390 ADVENTURE, Gone are the days when going from A to B. The 2023 KTM 390 ADVENTURE rewrites the rulebook on what the daily commute needs to be. Merging all-road versatility and proven reliability with real-world performance, not to mention adventure-ready spoked wheels, a proven 373 cc powerplant, and a class-leading chassis, the KTM 390 ADVENTURE not only seeks out new adventures - it leaves no path unexplored.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   On-Road Confidence"
