mileage,price,Bike name ,Time of USed,description
"6,463 miles","$8,999 ",SCRAMBLER 1100 SPECIAL,  2018 Ducati Sportbike,"2018 DUCATI SCRAMBLER 1100 SPECIAL,"
763 miles,"$14,999 ",HYPERMOTARD 939 SP,  2018 Ducati Super Moto,
"1,824 miles","$24,500 ",PANIGALE V4 S,  2018 Ducati Sportbike,"Immaculately maintained and always garage kept Suberbike motorcycle. If you know your bikes, you know this is the manufacturer that just won World SBK and MotoGP. Absolutely incredible machine with lots of extras added and listed below. Pains me to sell but unfortunately I have no time to enjoy this beauty - 1824 miles!!! All recalls performed and up to date with recent oil change. Comes with original manual, 2 keys, factory headers, original mirrors with turn signals.Additionally installed parts/items:Full Racing Titanium Akrapovic factory installed exhaust with ECU and under-bellyNew Pirelli factory rear tire (less than 50miles)Ducati performance carbon tank coverDucati performance carbon rear mud guardDucati performance carbon side frame coversDucati performance carbon front mud guardDucati performance Alcantara racing seatFullsix carbon swingarm coverRear fender eliminator with stealth plate mount/integrated turn signalsHandlebar mounted mirrorsCRG adjustable carbon short brake lever, folding full length clutch leverRizoma fuel cap coverFrame slidersBattery tender connection set and readyClear clutch cover with red anodized interiorWoodcraft side stator cover/sliderEazi Grip anti slip tank coverEvotech radiator guard/grilleEvotech rear passenger peg eliminator under-mountCarbon fiber GoPro dash mountSpecs:Engine size 1103ccEngine type liquid-cooled V4Frame type Cast-ally semi-monocoqueFuel capacity 16 litresSeat height 830mmBike weight 195kgFront suspension 43mm semi-active Öhlins NIX 30 forksRear suspension Semi-active Öhlins TTX36 shockFront brake 2 x 330mm discs with four-piston radial calipersRear brake 220 mm disc with two-piston caliperFront tyre size 120/70 x 17Rear tyre size 200/55 x 17"
"6,950 miles","$12,500 ",MULTISTRADA 1200 S,  2015 Ducati Sport Touring,
"18,500 miles","$13,500 ",999,  2005 Ducati Sportbike,"I have for sale my 2005 Ducati 999. The particulars.This bike was owned and upgraded by a helicopter simulator instructor in Pensacola, Florida, and his good friend LT Snyder, who runs Desmotimes.a premier source for Ducati maintenance and modifications. I believe if searched, you can still find this bike in prior motorcycles on the Desmotimes site. In other words, these guys knew what they were doing with Ducati's. There are 2 black keys, and the all important red ""master"" key. Modifications from the factory spec are:*57mm FULL Termignoni exhaust with race ECU and air filters.*Carbon Fiber front fender (same as ""R"" model)*Carbon Fiber rear hugger from Shift Tech*Carbon Fiber air runner covers from Shift Tech*Headlights modded so that low-beam remains on with high beam activated*Puig Double Bubble light smoked windscreen with billet fasteners*Billet reservoir covers for clutch and front brake masters*Lightech billet fuel cap*CRG shorty clutch and brake levers*SATO racing billet rearsets WITH brake lever (can be reversed to GP shift)*14/40 gearing *Fender eliminator*Clear Alternatives clear turn signal lenses*ProGrip grips*ProCut billet, red anodized clutch basket*CycleCat billet red anodized clutch pressure plate*Stainless steel clutch springs*Paulimoto red anodized spider retainer for clutch springs*Paulimoto vented billet clutch cover*Ohlins rear shock spring on factory Showa shock*Fork rebuilt with Ohlins springs and gold valves*Billet Dzus fairing fasteners*The '05 999 did NOT come in monoposto, so from the factory was a biposto. It was converted to the ""S"" model monoposto subframe/tail. *There is a ""pigtail"" attached to the battery.*This bike comes with additional Racing Plastics. The bodywork is Catalyst Composite, Puig clear windscreen, with all Dzus fasteners and Vortex fairing stay.Frame sliders are Speedy Moto. The nose of the race plastics was damaged. I just covered it with green duct tape. It works perfectly. This motorcycle has been meticulously cared for by Josh and his team at Ducati Austin. There are some minor scratches/abrasions here and there.The carbon piece between the bike and upper piece has started to peel. It is an easy replacement if it is bothersome. It is set up to pull like a freight-train. This is an Italian masterpiece. Mileage at this point is 18320. Very low mileage for a Ducati 999.I am asking $13,500. I am selling this as local pickup only, cash."
3 miles,"$18,295 ",PANIGALE V2,New 2023 Ducati Sportbike,"2023 DUCATI PANIGALE V2,"
2 miles,"$9,195 ",Scrambler Icon Dark,New 2023 Ducati Sportbike,
170 miles,"$14,500 ",MONSTER SP,  2023 Ducati Standard,"Selling 2023 Ducati Monster SP. 170 miles. Super clean. No drops. No mods or tune. Stock silencer, Ohlins suspension front and rear, brembo brakes, quick shifter etc. New LED halo headlight for 2023 models. Battery tender under rear seat cowel. I have stock rear seat still in bubble wrap. Google “Ducati monster SP 2023” for full spec and details. Purchased 4/3/23. Paid over 18k. Bike has lien through freedom financial. I already owe more than advertised. NO TRADES. If post is up the bike is available. Located Cherry Hill NJ 08003."
,"$11,122 ",Monster 821 Stealth Special Black,  2020 Ducati Sportbike,"2020 Ducati Monster 821 Stealth Special Black, 2020 Ducati Monster 821 Stealth Special Black"
"14,435 miles","$15,995 ",Multistrada 1260 S Ducati Red,  2019 Ducati Sportbike,"2019 Ducati Multistrada 1260 S Ducati Red, PLEASE NOTE! VEHICLE SHIPS OUT OF LAS VEGAS, NV. SHIPPING DIRECT TO PURCHASER’S DOORSTEP AVAILABLE NATIONWIDE. CERTIFIED PRE-OWNED, 88PT INSPECTION AND WARRANTY. NATIONWIDE FINANCING AVAILABLE, CLICK ""GET FINANCING"" FOR CREDIT APPROVAL.  2019 Ducati Multistrada 1260 S Ducati Red"
482 miles,"$7,800 ",MONSTER + 797,  2019 Ducati Sportbike,2019 Star White Silk Ducati Monster 797+ with only 482 miles. Garage stored since day one.
"5,000 miles","$19,500 ",MULTISTRADA 1260 PIKES PEAK,  2019 Ducati Sport Touring,"Immaculate, original owner, always covered in my garage and has never been on the track. List of Ducati accessories: carbon rear splash guard, rear mudguard, number plate holder, billet aluminum gas cap, license plate frame and mirrors, machined brake and clutch levers, protective mesh for radiator and oil cooler, black anodized brake fluid reservoirs, stand support plate, oil filler cap, frame plugs, cover, rear service stand tank protectors and throttle spacer. I also have all of the original parts."
"3,343 miles","$8,999 ",SCRAMBLER 1100,  2018 Ducati Standard,"2018 DUCATI SCRAMBLER 1100,"
250 miles,"$65,000 ",SUPERLEGGERA 1299,  2017 Ducati Sportbike,"2017 Ducati 1299 SL. ~230 miles. Bike has been a display piece. It has been wrapped for protection. Battery is in great shape. Oil was just changed. Have kickstand. Comes with Factory Race exhaust and factory stands. VIN#000028. Title in hand. Asking $65,000"
,"$21,000 ",PANIGALE 1299,  2017 Ducati Sportbike,"Beautiful, never   bike. NEW condition with ZERO miles. 1299 Panigale. Bought and don't have a need for it. Open to serious offers. Shipping available. See details below:ENGINETRANSMISSIONCHASSISDIMENSIONS AND WEIGHT"
"23,600 miles","$14,000 ",MULTISTRADA 1200 PIKES PEAK,  2016 Ducati Dual Sport,"The bike is in great condition with 19K mile service completed. With my ne home and new hobbies it needs to go to a rider who will enjoy and appreciate her. MODS: on 2016 PP include:Full Ti Akra exhaust ($2,300)Red Powdercoated crash barsLED touring lightsElectronic locking fuel capUrban Kit:- Tank Bag- Top CaseTouring Pack:- Tail Bags- Center Stand- Heated GripsTotal paid $30,002.54Tires are Pirelli Scorpion put on 2k miles ago and also comes with touring windscreen and anniversary kit."
"11,411 miles","$7,500 ",MONSTER 821 STRIPE,  2015 Ducati Sportbike,"2015 Ducati Monster 821 Stripe: Red. Excellent conditionSelling my Ducati Monster 821 Stripe*Mileage: 11,400 Miles*Runs Excellent without Mechanical Issues*Very Clean In and Out*RAM Phone Mount*Also giving away a big windshield for extra windy days"
,"$9,850 ",DIAVEL CARBON,  2015 Ducati Sportbike,"2015 Ducati Diavel Carbon Star White and Matt Carbon. Garage kept, beautiful condition. 6K MILES, NEW FRONT TIRE, REAR TIRE IN GREAT SHAPE! ADULT OWNED, NO ACCIDENTS OR DROPS. Beautiful bike with a fantastic riding position and crazy torque. Serious eye turner. Let me know any questions you have!2015 Ducati Diavel Carbon Star White and Matt Carbon ""Don't call me a cruiser"" The Diavel Carbon exemplifies the distinctive style and sporty soul of the Diavel with high-quality, light-weight components. Clad with carbon fiber and Marchesini forged wheels, weight is reduced to just 205 kg, only further enhancing the performance of this extraordinary motorcycle.The intoxicating design, with innovative LED headlight, and refined rider comfort of the new Diavel may imply ""cruiser,"" but the brute force of its 162 hp Testastretta engine and its razor sharp handling prove otherwise.Power and Torque With its 162hp and colossal 96lb-ft of torque, the Diavel Testastretta 11° DS engine defines authentic Ducati Desmodromic performance. Thanks to dual spark plugs, high-compression pistons, and revised injection spray targeting, the engine's torque curve is strong and smooth at low rpm, and remains so through a wide rev-range. The engine output is managed by Ducati's Ride-by-Wire (RbW) system to ensure effortless ridability, with plenty of power on tap also for high-rpm riding. Twin lateral radiators To keep the frontal lines of the Diavel clean, the technical solution of a highly efficient lateral radiator is placed on each side of the bike. These well-ducted units, located beneath the fuel tank, use aerodynamics to help draw cooling air flow through them and are assisted by high-flow electric fans when required. Their shape integrates seamlessly with the overall design, combining form and function to enhance the muscular presence of the bike.Ergonomics The redesigned, more comfortable seat offers more room and has a low height of 770 mm, which allows for extended hours of riding pleasure and makes the Diavel accessible to a wide range of riders. A relaxed handlebar position sits naturally in the rider's reach, ensuring full control and comfort with the unmatched coolness of cruiser style. Marzocchi forks with low-friction fork legs The Diavel uses 50 mm Marzocchi front forks with fork legs finished in low-friction diamond-like carbon (DLC). These forks are fully adjustable for spring pre-load and compression."
,"$9,650 ",Hypermotard 1100 EVO SP,  2012 Ducati Dual Sport,This is the limited edition 1100 EVO SP. It's a great bike. I’m the original owner. Always stored in a heated garage. I installed an 6.4 gallon extra large fuel tank and pod filters. The tank is not higher or wider. Smiles and thumbs up from everyone when I’m on this limited edition Ducati.
"21,000 miles","$8,190 ",MULTISTRADA 1200 ABS,  2010 Ducati Sport Touring,"Great condition. New Tires. New Brakes, GIVI Tour Pack. Ducati locking removable hard bags. Keyless start. extra shorty fender. Tool kit. All original."
"19,000 miles","$8,000 ",GT 1000 TOURING,  2007 Ducati Standard,"2007 gt1000, garage kept, immaculate, ,stock pipes, Norman Hyde ""M Bars"" fairing is frome ducati monster paint matches. Termignoni headers, pielli tires"
1 miles,"$18,895 ",Multistrada V2 S Ducati Red,New 2023 Ducati Sportbike,"2023 Ducati Multistrada V2 S Ducati Red, **0% financing for 24 months on OAC**  2023 Ducati Multistrada V2 S Ducati Red"
6 miles,"$11,695 ",Scrambler Nightshift Aviator Grey,New 2023 Ducati Standard,"2023 Ducati Scrambler Nightshift Aviator Grey, 2023 Ducati Scrambler Nightshift Aviator Grey"
,"$30,395 ",Multistrada V4 Pikes Peak Livery,New 2023 Ducati Sportbike,"2023 Ducati Multistrada V4 Pikes Peak Livery, IN STOCK NOW!!  2022 Ducati Multistrada V4 Pikes Peak Livery"
1 miles,"$24,500 ",Multistrada V4 S Travel & Radar Spoked Wheel,New 2022 Ducati Standard,
"1,070 miles","$20,000 ",STREETFIGHTER V2,  2022 Ducati Sportbike,Perfectly maintained. Akrapovic full titanium exhaust. Custom seat. Futurismoto tail tidy. 1070 miles. Never dropped. One owner. Comes with free service tickets from Ducati Sanford.
"2,428 miles","$17,995 ",Streetfighter V4,  2022 Ducati Sportbike,"Beautiful Streetfighter V4 with just under 2,500 miles.Bought last seasonal and maintained perfectly. Added handlebar turn signal indicators and tail-tidy. Unfortunately don’t have the opportunity to ride as much anymore so parting ways with this amazing bike. Feel free to text me with any questions or with any reasonable offers: 978-273-3813"
,"$11,895 ",Scrambler Urban Motard,New 2022 Ducati Standard,"2022 Ducati Scrambler Urban Motard, Rates as low as 2.99% and No Payments for 90 Days!"
898 miles,"$23,495 ",Multistrada V4S Ducati Red / Alloy Wheels V4 S SPORT,  2022 Ducati Sportbike,"2022 Ducati Multistrada V4S Ducati Red / Alloy Wheels, 2022 Ducati Multistrada V4S Ducati Red / Alloy Wheels"
"1,039 miles","$16,000 ",STREETFIGHTER V2,  2022 Ducati Sportbike,"Street fighter V2 . No scratches, never been dropped. All services completed. Cash only. No trades accepted.Modifications:Ducati plastic air wings. Rage cycle integrated signal lights.Rage cycle fender eliminator. Sato racing frame sliders. All work performed by the same authorized Ducati dealership. Original parts not included.Bike has a 4 year extended warranty ($1.5k value), and 3 year tire insurance ($600 value) . Both are transferable to the new owner so the price is firm.  If the listing is still up, the bike is available."
"4,350 miles","$21,499 ",DIAVEL 1260 S,  2021 Ducati Cruiser,Beautiful mint condition 2021 Diavel 1260S With full racing Termignoni exhaust ~$3218 Ducati Authentic back rest and third brake light! ~$385 R&G tail tidy and number plate relocation.~$200 Custom Led ~ $150 Puig windscreen ~$150 Ducati Throttle Spacers ~ $30* AZ Title available***No tax on private sale**More than $4000 in extra parts**Negotiable **
"2,707 miles","$20,985 ",MULTISTRADA V4 S,  2021 Ducati Sport Touring,"This awesome bike is part of a private collection from the owner of our Mercedes dealership. He upgraded this model for the new one extras include Side engine guard,back hard compartment,side hard bags, heated seat, heated grips and so much more"
"1,806 miles","$9,258 ",Monster 821 Ducati Red,  2019 Ducati Sportbike,"2019 Ducati Monster 821 Ducati Red, Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, Sin City | Ducati Las Vegas has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States. Start your adventure today and CALL 702-430-9347 to get started on the path to ownership!   2019 Ducati Monster 821 Ducati Red"
"1,317 miles","$7,000 ",SCRAMBLER SIXTY2,  2016 Ducati Standard,"Modern Ducati, LED front light, Showa suspension, 10-spoke aluminum wheels wrapped in Pirelli MY60 rubber, brembo braking Teo-channel ABS."
"4,378 miles","$6,295 ",SCRAMBLER ICON,  2015 Ducati Dual Sport,"This 2015 Ducati Scrambler ICON in '62 Yellow defines how the scrambler should be. With ties to a cult like past and with just the right amount of technology, this 803cc, ABS, Dual sport motorcycle is pure fun and pure motorcycle. It has been a major success for Ducati since its introduction. This bike has been upgraded in two important areas that redefine the responsiveness and feel of the ride:In addition important accessories were added to enhance the functionality of the Scrambler:The bike is in excellant condition--externally and internaly. Always garaged and fully maintained as required. A great first bike, additional bike or last bike. It makes you smile."
"20,816 miles","$7,995 ",ST 3S ABS,  2007 Ducati Sport Touring,"Looking for a powerful and sleek motorcycle that is sure to turn heads? Look no further than this 2007 Ducati ST3s ABS. With its sporty design and impressive features, this bike is sure to make a statement wherever you ride.This bike is equipped with a Ducati Performance chip, open air box and Leo Vince pipes for outstanding power and sound. The bike also has heated hand grips, fog lights, GPS, and HeliBars handlebar raisers making long trips enjoyable. (I also have the OEM pipes, and handelbar ends which will go with the bike.)This bike is in outstanding shape, with no issues. I am the original owner, and have always taken very good care of this bike. I am looking for someone to enjoy this bike as I have over the years."
"4,300 miles","$7,000 ",SUPERBIKE 748 BIPOSTA,  1998 Ducati Sportbike,"1998 Ducati 748 Biposto -Approximately 4,300 Miles -Recent Oil Change, New Oil Switch, Fresh Brake Fluid, Brand New Rear Rotor and Rear Brake Pads-Recent Belts Change -Brand New Michelin Tires -Brand New Termignoni Exhaust -Many spare parts included-Original Manuals and paperwork from original owner-Scratches on left lower fairing and on tail but are barely noticeable. Otherwise Clean. Please contact me 516-216-3466"
,"$18,595 ",Panigale V2,New 2023 Ducati Sportbike,
59 miles,"$44,500 ",SUPERBIKE PANIGALE V4,  2023 Ducati Sportbike,"2023 Ducati V4 SP2 - LIKE N EW - 59 Miles. Very hard to find.The bike is mint, as you would expect. The only thing done to the bike is:Have original parts. Can reinstall the original mirrors if preferred. All keys, documentation, spare parts, and title in hand"
6 miles,"$11,895 ",Scrambler Urban Motard Star White Silk and Ducati GP,New 2023 Ducati Standard,"2023 Ducati Scrambler Urban Motard Star White Silk and Ducati GP 19 Red, 2023 Ducati Scrambler Urban Motard Star White Silk and Ducati GP ’19 Red"
,"$18,295 ",DesertX RR22 Livery,New 2023 Ducati Dual Sport,"2023 Ducati DesertX RR22 Livery, 2023 Ducati DesertX RR22 Livery"
,"$15,595 ",Monster SP Livery 821 STRIPE,New 2023 Ducati Sportbike,"2023 Ducati Monster SP Livery, 2023 Ducati Monster SP Livery"
"6,000 miles","$13,000 ",MONSTER + 937,  2023 Ducati Sportbike,"MUST SELL!!! Why spend  when you can have all of these benefits for just $13,000? That's a  And not only will you save money, but you'll also be getting a bike that has been lovingly cared for and tastefully upgraded to perfection. So what are you waiting for? If you're a serious Ducati enthusiast, this is the bike for you. Don't miss out on the opportunity to own a truly special machine. All buyers are welcome, so don't hesitate to reach out and take a look at this beautiful Ducati Monster Plus!Important Information:Details:Maintenance and Upgrades:From the owner:"
5 miles,"$26,295 ",Multistrada V4S Aviator Grey / Alloy Wheels V4 S SPORT,New 2022 Ducati Sportbike,"2022 Ducati Multistrada V4S Aviator Grey / Alloy Wheels, PROMOTIONAL RATES starting at 4.99%* for 60 months w/ no payments for 90 days. * On approved credit for well qualified buyers.  2022 Ducati Multistrada V4S Aviator Grey / Alloy Wheels"
,"$16,395 ",SuperSport 950 S Ducati Red fairing,New 2022 Ducati Sportbike,"2022 Ducati SuperSport 950 S Ducati Red fairing, 2022 Ducati SuperSport 950 S Ducati Red fairing"
10 miles,"$13,495 ",SCRAMBLER 1100 PRO,New 2021 Ducati Standard,"2021 DUCATI SCRAMBLER 1100 PRO,"
"1,661 miles","$19,495 ",Diavel 1260 S Ducati Red,  2021 Ducati Sportbike,"2021 Ducati Diavel 1260 S Ducati Red, 2021 Ducati Diavel 1260 S Ducati Red"
"2,268 miles","$44,900 ",PANIGALE V4 R,  2020 Ducati Sportbike,"Loaded Ducati V4R in excellent condition. Only 2,268 miles."
"1,460 miles","$22,995 ",Streetfighter V4 S Ducati Red,  2020 Ducati Sportbike,"2020 Ducati Streetfighter V4 S Ducati Red, 2020 Ducati Streetfighter V4 S Ducati Red"
,"$16,250 ",Multistrada 1260 ENDURO,  2019 Ducati Dual Sport,"Beautiful  Multistrada 1260 Enduro Touring  with  Touratech panniers, low mileage and full Ducati extended warranty."
580 miles,"$11,495 ",Scrambler Cafe Racer,  2019 Ducati Standard,"2019 Ducati Scrambler Cafe Racer, 2019 Ducati Scrambler Cafe Racer"
"21,500 miles","$14,495 ",MULTISTRADA 1200 S PIKES PEAK,  2016 Ducati Sport Touring,"The bike is loaded. Included: Centerstand. DID Racing Chain. Termignoni Exhaust. Heated Grips. Garmin GPS. Comfort Seat. Marchesini Forged Magnesium Wheels - the bike handles lighter and quicker than with stock wheels! Ducati Driving Lights. Givi Top Trunk. Keyless ignition. Keyless Gas Cap. Ohlin Suspension. Broadmore Custom Carbon Fiber Wind Screen. Paint 9+. No scratches, nicks, or bruises. The bike has never been raced and never been ridden over 100 MPH. Ridden just a few thousand miles a year. Never ridden in hard rain! 18,000 mile major service completed by Frontline BMW/Ducati in Salem Va. It needs an oil change.It's a special bike that always draws interest."
"34,906 miles","$7,999 ",MULTISTRADA 1200 S TOURING,  2014 Ducati Sport Touring,"One owner bike, never down, garage kept. Maintenance up to date, including Desmo service at 32,706 miles (valve check, new timing belts, spark plugs, etc.) Newer Michelin Road 5 tires. Runs like a champ! This bike is in excellent condition - come see it!"
"10,566 miles","$9,000 ",848 EVO BASE,  2013 Ducati Super Moto,Bike is in excellent mechanical condition. It has been serviced by local Ducati shop every year. Most recent record of service is available. Blemishes on tank from gas overflow and scratches from riding gear. Small marks can be found on ferrings. New tires were put on wheels last year. Will include Pitbull tire stand and aftermarket tire stand with purchase. Original tool kit and two sets of keys are also included. This bike was never taken to a track. It has only been   for street use. I can provide additional details as requested.
"3,100 miles","$14,500 ",1198 1198SP,  2011 Ducati Sportbike,"Extremely clean 2011 1198SP with only 3,100 miles. Will need tires and although the belts are brand new, may need to be replaced due to time. Has GPS with rearview wide angle camera, Cover and Pit Bull rear stand. Battery is larger CCA and brand new this year. This bike is all stock and has been kept in a garage. All oil changes have been synthetic and fuel has been 92 octane with no Ethanol. Located in the greater Seattle area."
1 miles,"$17,095 ",DesertX Star White Silk,New 2023 Ducati Sportbike,"2023 Ducati DesertX Star White Silk, **0% financing for 24 months on OAC**  2023 Ducati DesertX"
1 miles,"$18,295 ",DesertX RR22 Livery,New 2023 Ducati Sportbike,"2023 Ducati DesertX RR22 Livery, **0% financing for 24 months on OAC**  2023 Ducati DesertX RR22 Livery"
5 miles,"$18,195 ",Streetfighter V2 Storm Green,New 2023 Ducati Sportbike,"2023 Ducati Streetfighter V2 Storm Green, 2023 Ducati Streetfighter V2 Storm Green"
198 miles,"$13,800 ",SUPERSPORT 950 S,  2022 Ducati Sportbike,"Like new Ducati 950 Supersport S with only 198 miles with remainder of factory warranty. Bike looks like it came off the showroom floor. No time to ride unfortunately. Reasonable offers accepted. Title in hand. Bike is awesome, lots of gear available as well, XL helmets and XXL gear."
"12,500 miles","$22,750 ",MULTISTRADA V4 S SPORT,  2022 Ducati Sport Touring,"Dealer maintained 2022 Ducati Multistrada V4S Sport livery. Dealer serviced at 11,200 miles. Michelin Road 6 tires front and rear installed 11,447 miles. This motorcycle is ready to entertain you deep into the riding season with rider aids and safety features a plenty. Want to gobble up big miles? Done. Want to drag knee on your favorite mountain road? Also done."
896 miles,"$17,999 ",STREET FIGHTER V4,  2021 Ducati Sportbike,"2021 DUCATI STREET FIGHTER V4,    Features"
"2,741 miles","$18,495 ",DIAVEL 1260 S,  2020 Ducati Sportbike,
"3,000 miles","$15,999 ",MULTISTRADA 1260 S,  2019 Ducati Sportbike,"2019 Ducati Multistrada 1260, Best Pricing Guaranteed! Call or text Southeast Motorcycle at 912-965-0505 For the Best Price!! We Finance Good Bad or No Credit with Low Rates and $0 Down Available! Everyone Rides At Southeast Motorcycle! www.southeastmotorcycle.com  2019 Ducati Multistrada 1260 S Ducati Red"
"13,880 miles","$27,999 ",SUPERBIKE PANIGALE V4 S CORSE,  2019 Ducati Sportbike,
"4,090 miles","$9,000 ",STREETFIGHTER S,  2010 Ducati Sportbike,
"3,423 miles","$16,500 ",DESERTX,  2023 Ducati Dual Sport,"2023. Desert xCrash bars, Denali Lights, Bark Busters , Evo Tech GPS mount , wired for Zumo X. I'm 57 I just rode it around town and one trip. Great bike but current situation forces sale call 989 488-7277 . Seriously inquiries only please"
1 miles,"$17,495 ",Streetfighter V2 Storm Green,New 2023 Ducati Sportbike,"2023 Ducati Streetfighter V2 Storm Green, **0% financing for 24 months on OAC**  2023 Ducati Streetfighter V2 Storm Green"
5 miles,"$17,995 ",Streetfighter V2 Ducati Red,New 2023 Ducati Sportbike,"2023 Ducati Streetfighter V2 Ducati Red, MOTOCORSA's DEMO BIKE (not available for sale until late 2023). All the power and ability of the famed Panigale V2, with a more relaxed ergonomic for street riding, commuting or whatever your heart desires. We have outfitted with our demo with Akropovic exhaust, bar end mirrors, tail tidy and frame sliders* so you can enjoy the full potential of this beast. If you've not yet considered the StreetFighter V2 as your next bike, definitely move it to the top of your list and come check it out. * Performance accessories, plus installation are at additional cost.  2023 Ducati Streetfighter V2 Ducati Red"
606 miles,"$15,550 ",STREETFIGHTER V2,  2022 Ducati Sportbike,
101 miles,"$19,500 ",PANIGALE V2,  2021 Ducati Sportbike,2021 Ducati Panigale V2 barely ridden since I spend majority of my time traveling. Would love to give it a new home where it's loved and actually  . Will pay for shipping. Have upgraded the flimsy stock mirrors to the DB RACE DUCATI PANIGALE V2 / V4 DAEMON MIRRORS. paid $700 to have them shipped from Italy. Also have comfort seat from Ducati ($300). have a 29mm clutch slave cylinder from CNC racing but haven't installed it.
"2,700 miles","$8,500 ",SCRAMBLER® NIGHTSHIFT,  2021 Ducati Standard,"2021 Ducati Scrambler NightshiftBike is in excellent condition. I've added a Dart Flyscreen, Rizoma Tail Tidy license plate relocation kit, BRKT slip on exhaust. Bike is very Fun and is easy to ride."
"2,700 miles","$9,500 ",Monster 821,  2019 Ducati Sport Touring,Motorcycle is in great condition. Clean title. New Battery tender and off road motorcycle helmet are add on’s with the motorcycle. Contact me if you are genuine in buying.
"6,900 miles","$10,750 ",SCRAMBLER 1100,  2018 Ducati Sportbike,"Beautiful Ducati Scrambler 1100 Sport. I have owned it for a year now. I bought it locally from Fay Myers but didn’t ride it as much as I anticipated. I originally Paid 12,500. Since purchasing I have added new mirrors, and replaced the rear back tire along with a fresh oil and filter change done about a week ago. Let me know if you’re interested in taking a look. Thanks!"
"4,150 miles","$8,000 ",SCRAMBLER STREET CLASSIC,  2018 Ducati Standard,"2018 Ducati Scrambler Street Classic. One year only trim level, combines sporty look of the Icon with spoke wheels of the classic. Bought new in April 2019. Always garage kept plus on a Ctek smart charger. Currently at 4,200miles. Oil and filter last changed at 3400 miles. Title in hand. All stock with the exception of a small rear rack. Have both keys and owners manual."
"7,500 miles","$10,500 ",DIAVEL CARBON,  2015 Ducati Sport Touring,"Custom Red and White paint job, Termignoni exhaust, keyless start,tons of options. Storage saddle bags included as well as Ducati leather sport jacket. Ducati red motorcycle cover included. Never laid down and absolutely flawless with forged Marchesini Rims."
959 miles,"$12,500 ",MONSTER + 937,  2023 Ducati Sportbike,"This Monster + Dark Stealth is packed with awesome technology including ABS, wheelie control, launch control, traction control, standard modes such as Urban or Sport, ect.Not a scratch or a problem with this Monster.Wheel and tire protection, warranty, and 3 year pre-paid maintenance included! I'll throw in a lightly   DOT approved large black Bluetooth helmet. 650 mile service was already performed."
1 miles,"$16,895 ",SuperSport 950 S Ducati Red fairing,New 2023 Ducati Sportbike,"2023 Ducati SuperSport 950 S Ducati Red fairing, **0% financing for 24 months on OAC**  2021 Ducati SuperSport 950 S Ducati Red fairing Destination Charge: $795.00"
"3,200 miles","$21,500 ",PANIGALE V4,  2021 Ducati Sportbike,"LIKE NEW CONDITION.I bought it brand new last year, but I don't ride it enough.NRC fender eliminator, NRC mirror block offs/front turn signals and bar end mirrors are after market additions. All original parts are included along with passanger seat and footpegs that can be installed if needed.New tires (Pirelli Diablo Rosso IV) and fresh oil change.$21500 OBO - CLEVELAND, OH area."
"2,871 miles","$19,400 ",Multistrada 1200,  2020 Ducati Sportbike,"2020 Ducati Multistrada,"
"8,600 miles","$12,000 ",Hypermotard 950,  2019 Ducati Sportbike,
"1,537 miles","$40,000 ",SUPERBIKE PANIGALE V4 R,  2019 Ducati Sportbike,
"7,800 miles","$9,300 ",848 EVO BASE,  2011 Ducati Sportbike,My Ducati 848 EVO has been garage stored and kept on a battery tender during winter months. It has aftermarket WORKS exhaust and AVS Shorty Levers. It Also has a Light weight Lithium Battery. I do have original exhaust and other items that buyer may want. It is very clean and low miles. Just changed Oil and filter as well as Clutch fluid. Series offers Please.
"5,600 miles","$7,500 ",MONSTER S2R 1000,  2006 Ducati Sportbike,
,"$17,695 ",DesertX Star White Silk,New 2023 Ducati Dual Sport,"2023 Ducati DesertX Star White Silk, 2023 Ducati DesertX"
,"$11,895 ",Scrambler Urban Motard Star White Silk and Ducati GP,New 2023 Ducati Standard,"2023 Ducati Scrambler Urban Motard Star White Silk and Ducati GP 19 Red, 2023 Ducati Scrambler Urban Motard Star White Silk and Ducati GP ’19 Red"
,"$11,695 ",Scrambler Nightshift Aviator Grey,New 2023 Ducati Standard,"2023 Ducati Scrambler Nightshift Aviator Grey, 2023 Ducati Scrambler Nightshift Aviator Grey"
,"$24,495 ",Panigale V4 Ducati Red,New 2023 Ducati Sportbike,"2023 Ducati Panigale V4 Ducati Red, 2023 Ducati Panigale V4 Ducati Red"
,"$25,995 ",Diavel 1260 S Black and Steel,New 2023 Ducati Cruiser,"2023 Ducati Diavel 1260 S Black and Steel, 2023 Ducati Diavel 1260 S Black and Steel"
6 miles,"$15,595 ",Monster SP Livery 821 STRIPE,New 2023 Ducati Sportbike,"2023 Ducati Monster SP Livery, ** ALL NEW 2023 MONSTER SP ** RED AND BLACK ** SEE DLR FOR DETAILS **  2023 Ducati Monster SP Livery"
1 miles,"$18,295 ",Panigale V2 Ducati Red,New 2023 Ducati Sportbike,"2023 Ducati Panigale V2 Ducati Red, 2023 Ducati Panigale V2 Ducati Red"
