mileage,price,Bike,Types and Used Time,description
"17,974 miles","$14,999 ",S 1000 RR,  2012 BMW Sportbike,"The latest in racing power. With an aluminium bridge, radial brakes, the BMW S1000RR comes standard in Canada with Race ABS, Dynamic Traction Control (DTC) and Gear Shift Assist. Never before is it so easy to keep so much power under control. This is just as true on public roads as it is down on the racetrack. The RR label shows that it is a full-blooded racing bike, even though it can also be ridden with a number plate attached. To top it all off is an engine which is our absolute pride and joy. And our motorsports team agree wholeheartedly."
"45,078 miles","$6,995 ",R 1200 R,  2009 BMW Sport Touring,
,"$6,799 ",R 1200 R,  2007 BMW Standard,
,"$27,815 ",R 18 TRANSCONTINENTAL,New 2022 BMW Standard,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrad’s tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic #SoulFuel."
153 miles,"$16,644 ",R nineT 719 Aluminum,  2022 BMW Cruiser,"Thoroughly reduced. And yet entirely present. The BMW R nineT. The classic roadster embodies the passion and innovation of over 90 years of motorcycle design, with high-quality materials and careful workmanship in the smallest detail. Its iconic boxer engine now blends in even better with the original proportions. And lets you power over the asphalt with its improved torque curve. Countless individualization options mean no limits when it comes to your self-realization. Become part of the #Soulfuel community and show who you really are with your R nineT."
,"$28,360 ",K 1600 GRAND AMERICA,New 2023 BMW Touring,"Traveling in pairs means experiencing every mile twice. Makes sense, right? However, with the K 1600 Grand America you will experience more. Its six-cylinder engine lets you casually cruise towards the horizon: well equipped with footboards, a top case featuring a backrest and high windscreen. As a result, it won’t be easy to say which was the most beautiful moment of the tour at the end of each day. Still, the stories about every mile will feel at least twice as good. Simply put:"
,"$27,765 ",R 18 B,New 2022 BMW Standard,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the ."
,"$28,140 ",R 18 B,New 2022 BMW Standard,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the ."
,"$28,965 ",R 18 TRANSCONTINENTAL,New 2022 BMW Standard,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrad’s tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic"
,"$26,560 ",R 18 TRANSCONTINENTAL,New 2022 BMW Standard,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrad’s tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic"
"35,286 miles","$11,495 ",K 1600 GTL,  2012 BMW Touring,"This   2012 BMW K1600GTL is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 35286 miles.  Our service department inspected the bike and performed the 36K service which included an oil and oil filter change, Rear drive fluid change, Brake fluid flush, Coolant flush, Installation of new spark plugs and a Valve Check.  This bike is ready to ride!  It is equipped with an Adaptive Headlight, Bluetooth Interface, Central Locking System, Comfort Package, Anti Theft Alarm System, Auxiliary LED Running Lights, Dynamic Traction Control, Electronic Suspension Adjustment, Safety Package, Anti Lock Braking System, Power Adjusting Windscreen, Heated Seat, Heated Grips, Tire Pressure Monitors, Highway Pegs, Engine Protection Bars, Auxiliary Brake Light In top Case, Battery Tender Lead and a BMW Navigation System."
,"$33,025 ",K 1600 B,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
"9,498 miles","$18,995 ",R 1250 GS,  2019 BMW Dual Sport,"This   2019 BMW R1250GS is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 9498 miles.  Our service department has inspected the bike and performed an oil and oil filter change and the previous owner had just completed a rear drive oil change and a brake fluid flush prior to trade in so this bike is ready to ride.  This bike is equipped with the Premium Package, Dynamic Electronic Suspension Adjustment, Keyless Ride, Ride Modes Pro, Touring Package, Passenger Kit, Heated Grips, Cruise Control, Dynamic Traction Control, LED Style Element, Gear Shift Assist Pro, Comfort Package, Dynamic Package, Chrome Exhaust Pipe, Style HP, ABS Pro, Tire Pressure Monitors, Sport Suspension, Hand Protection, Cross Spoke Wheels, Valve Cover Guards, Brake Pedal Enlarger, Battery Tender Lead, Alt Rider Luggage Rack, Denali Auxiliary Brake Light, TFT Screen Protector, Auxiliary USB Sockets, Touretech Hand Guard Extensions, Touretech Headlight Guard, Denali Auxiliary Running Lights, Denali Horn, Radiator Guards, BMW Navigation System and BMW Vario Side Cases."
"79,761 miles","$7,995 ",K 1600 GTL,  2012 BMW Touring,"This   one owner2012 BMW K1600GTL is for sale at Cycle Werks in Barrington in Barrington IL and has 79761 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with performing a rear drive oil change so this bike is ready to ride.  This bike has a few scratches but runs great and is priced to sell.  It is equipped with the Comfort Package, Adaptive Headlight, Bluetooth Interface, Central Locking System, Auxiliary LED Running Lights, Dynamic Traction Control, Power Adjusting Windscreen, Heated Seat, Heated Grips, Electronic Suspension Adjustment, Safety Package, Tire Pressure Monitors, Anti Theft Alarm System, Battery Tender Lead, Top Case Rack, BMW Navigation System and Engine Protection Bars."
,"$29,775 ",K 1600 GT,New 2023 BMW Touring,"Your trip is perfect if you have forgotten everything you left behind after the first corner. When you feel an irresistible drive, in response to the smallest command. In other words: When you have everything you need, but you still get more than before: more comfort, more performance. The legendary six-cylinder K 1600 GT now drives you forward with even more focus. In keeping with this, the new cockpit has been fully geared towards your needs. For an outstanding performance tour when you’re out and about. A fully fledged ."
"5,689 miles","$19,995 ",R 1250 GS,  2020 BMW Dual Sport,"This one owner   2020 BMW R1250GS  is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 5689 miles.  Our service department has inspected the bike and the previous owner had just completed the 6K service so this bike is ready to ride.  This bike is equipped with Dynamic Electronic Suspension Adjustment, Keyless Ride, Ride Modes Pro, Touring Package, Exclusive Style Package, Heated Grips, GPS Preparation, Cruise Control, Touretech Hand Guards, LED Style Element, Gear Shift Assist, Comfort Package, Dynamic Package, Chrome Exhaust Pipe, ABS Pro, Tire Pressure Monitors, Headlight Guard, Touretech Upper and Lower Engine Guards, Touretech Radiator Guard, Enduro Skid Plate, Touretech Side Stand Expander, Touretech Starter Guard Cover, RAM Mount, USB Sockets, Battery Tender Lead and BMW Vario Side Cases."
"11,768 miles","$8,597 ",R nineT,  2015 BMW Standard,"Motorcycling has always been a passionate lifestyle. For the past 90 years BMW Motorrad has been ensuring that this remains the same in the future, too. For those who like it pure and original, BMW Motorrad has now developed the perfect machine: the BMW R nineT. A motorcycle featuring purist design and numerous ways of customizing it."
,"$26,225 ",R 1250 GS ADVENTURE,New 2023 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical ."
,"$26,655 ",K 1600 B,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
,"$26,655 ",K 1600 B,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
,"$27,065 ",R 1250 RT,New 2023 BMW Touring,"The R 1250 RT is the perfect companion for your tour: Its legendary BMW ShiftCam Boxer engine pulls just as powerfully over country roads as it does over winding mountain passes. Its updated front end makes it look more dynamic and slimmer. On the other hand, there is a wide range of features such as the extra-large 10.25"" TFT display or available Active Cruise Control (ACC) - providing extra comfort on your journey. And at the end of the day, you know that there’s nothing like shared experiences and a perfect companion. A fully fledged ."
,"$27,265 ",R 1250 RT,New 2023 BMW Touring,"The R 1250 RT is the perfect companion for your tour: Its legendary BMW ShiftCam Boxer engine pulls just as powerfully over country roads as it does over winding mountain passes. Its updated front end makes it look more dynamic and slimmer. On the other hand, there is a wide range of features such as the extra-large 10.25"" TFT display or available Active Cruise Control (ACC) - providing extra comfort on your journey. And at the end of the day, you know that there’s nothing like shared experiences and a perfect companion. A fully fledged ."
,"$28,295 ",S 1000 RR,New 2023 BMW Sportbike,"The RR is now even more foc  and more precisely geared towards pure performance. For those who increasingly demand more. More from themselves. More each lap. And more from their RR. Simply put: . Leading the way is a matter of millimeters, especially in the circles the RR has always been a part of. That’s why we have streamlined and evolved the RR where it matters most: from the new steering angle sensor with Brake Slide Assist and Slide Control as well as the integration of M components and improvements to the electronics and crucial processes for modifying the bike for the race track. And all this with a clear goal in mind – claiming the pole position over and over again."
,"$26,655 ",K 1600 B,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
,"$33,200 ",K 1600 B,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
,"$28,820 ",K 1600 B,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
,"$28,820 ",K 1600 B,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
,"$26,540 ",R 1250 GS ADVENTURE,New 2023 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical ."
,"$26,290 ",R 1250 GS ADVENTURE,New 2023 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical ."
,"$28,820 ",K 1600 B Grand America 1600 GRAND AMERICA,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
,"$25,865 ",R 18 B,New 2022 BMW Standard,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
581 miles,"$21,995 ",R 1250 GS Adventure Triple Black,  2022 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical #SpiritOfGS."
262 miles,"$18,995 ",R 18 B,  2022 BMW Standard,"This   2022 BMW R18 Bagger is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 249 miles.  Our Service Department has inspected the bike so that this bike is ready to ride.  This bike has factory warranty remaining until 8/4/2024 or 36,000 miles whichever comes first & is equipped with the Premium Package, Adaptive Headlight, Hill Start Control, Design Option Chrome, Radio with Marshall Gold Series Stage 1 Speakers, Special Edition, Floor Boards, Tire Pressure Monitors, Select Package, Locking Fuel Filler Cap, Headlight Pro, White Pinstripe, Central Locking System, Reverse Assist, Active Cruise Control, Anti Theft Alarm System, Heated Grips, Heated Seat, & a Battery Tender Lead."
,"$26,840 ",K 1600 B,New 2022 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: ."
"7,049 miles","$19,495 ",R 1250 GS ADVENTURE,  2019 BMW Dual Sport,"This   2019 BMW R1250GS Adventure is for sale at Cycle Werks in Barrington in Barrington Il and is in immaculate condition with only 7049 miles.  Our service has inspected the bike and performed an oil and oil filter change along with a rear drive oil change and a brake fluid flush.  They also installed new tires on the bike so it is ready to ride.  This bike is equip0ped with the Premium Package, Dynamic Traction Control, LED Style Element, Gear Shift Assist Pro, Comfort Package, Dynamic Package, Chrome Exhaust Pipe, Style HP, ABS Pro, Tire Pressure Monitors, Auxiliary LED Running Lights, Dynamic Electronic Suspension Adjustment, Keyless Ride, Ride Modes Pro, Touring Package, GPS Preparation, Passenger Kit, Heated Grips, Cruise Control, Upper and Lower Engine Guards, Hand Protection and a Battery Tender Lead."
"24,116 miles","$17,295 ",R 1200 GS ADVENTURE,  2016 BMW Dual Sport,"This   2016 BMW R1200GS Adventure is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 24116 miles.  Our service department has inspected the bike and all maintenance is up to date so this bike is ready to ride.  It is equipped with the Premium Package, LED Style Element, Gear Shift Assist Pro, Touring Package, Dynamic Electronic Suspension Adjustment, On Board Computer, Ride Modes Pro, ABS Pro, Tire Pressure Monitors, Auxiliary LED Running Lights, Cruise Control, Saddle Bag Mounting System for Aluminum Side and Top Case, Hand Guards, Upper and Lower Body Protection Bars, Gas Tank Knee Pads, Side Stand Plate Enlarger, Auxiliary Brake Lights, Custom Adjustable Hand Levers and a BMW Navigation System."
"52,535 miles","$13,995 ",R 1200 GS ADVENTURE,  2015 BMW Dual Sport,"This   20105 BMW R1200GS Adventure is for sale at Cycle Werks in Barrington in Barrington IL and is in very nice condition with 52535 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with changing the rear drive fluid, new spark plugs, air filter and also performed a brake fluid flush.  They also installed new tires on the bike as well as new front brake pads.  This bike is ready to ride!  It is equipped with the Technology Package, LED Style Element, On Board Computer, Ride Modes Pro, GPS Preparation, Tire Pressure Monitors, Auxiliary LED Running Lights, Dynamic Electronic Suspension Adjustment, Keyless Ride, Gear Shift Assist Pro, Touring Package, Heated Grips, Cruise Control, Hand Guards, Side Stand Expander, Radiator Guards, ROX Bar Risers and a Battery Tender Lead."
"32,639 miles","$11,795 ",K 1600 GTL,  2012 BMW Touring,"This one owner   2012 BMW K1600GTL is for sale at Cycle Werks in Barrington in Barrington IL and is in very nice condition with 32639 miles.  Our service department has inspected the bike and the previous owner had just performed an oil and oil filter change 400 miles ago so a brake fluid flush as well as a rear drive oil change was performed.  They also installed new tires on the bike so this bike is ready to ride.  It is equipped with Bluetooth Interface, Adaptive Headlight, Central Locking System, Saddle Bag Protection, Comfort Package, Anti Theft Alarm System, Auxiliary LED Running Lights, Dynamic Traction Control, Battery Tender Lead, Power Adjusting Windscreen, Electronic Suspension Adjustment, Tire Pressure Monitors, Heated Seat, Heated Grips and Engine Protection Bars."
2 miles,"$29,990 ",R1250 RTP,New 2023 BMW Custom,
,"$29,460 ",R 1250 RT,New 2023 BMW Touring,"The R 1250 RT is the perfect companion for your tour: Its legendary BMW ShiftCam Boxer engine pulls just as powerfully over country roads as it does over winding mountain passes. Its updated front end makes it look more dynamic and slimmer. On the other hand, there is a wide range of features such as the extra-large 10.25"" TFT display or available Active Cruise Control (ACC) - providing extra comfort on your journey. And at the end of the day, you know that there’s nothing like shared experiences and a perfect companion. A fully fledged ."
,"$29,480 ",K 1600 GTL,New 2023 BMW Touring,"There is a German proverb along the lines of “anyone who travels with ambitions never travels alone.” This is especially true when you are traveling with someone else. The BMW K 1600 GTL represents both these elements. It offers performance touring that leaves no wishes unfulfilled. Its powerful six-cylinder engine now delivers dynamism and superior character: thanks to the comfortably designed vehicle geometry, you can enjoy every mile. - The cockpit has also been redesigned. it has been entirely geared towards interaction with you so you can enjoy every tour even more consciously and intensively. Because traveling together starts here – truly in the spirit of"
,"$29,640 ",K 1600 GTL,New 2022 BMW Touring,"There is a German proverb along the lines of “anyone who travels with ambitions never travels alone.” This is especially true when you are traveling with someone else. The BMW K 1600 GTL represents both these elements. It offers performance touring that leaves no wishes unfulfilled. Its powerful six-cylinder engine now delivers dynamism and superior character: thanks to the comfortably designed vehicle geometry, you can enjoy every mile. - The cockpit has also been redesigned. it has been entirely geared towards interaction with you so you can enjoy every tour even more consciously and intensively. Because traveling together starts here – truly in the spirit of"
76 miles,"$22,990 ",R 18 TRANSCONTINENTAL FIRST EDITION,  2022 BMW Cruiser,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrad’s tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic #SoulFuel."
"2,211 miles","$14,495 ",R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 2211 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with a rear drive fluid change so this bike is ready to ride.  This bike has BMW factory warranty remaining until 10/21/2025 or 36000 miles whichever comes first and is equipped with the Premium Package, Locking Fuel Cap, Headlight Pro, Select Package, Adaptive Headlight, Hill Start Control, Design Option Chrome, Pinstripe Package, Reverse Assist, Heated Grips, Anti Theft Alarm System, Cruise Control, Bar Backs, Auxiliary USB Ports and a Battery Tender Lead."
"12,002 miles","$12,495 ",K 1600 GT,  2014 BMW Touring,Gran Turismo. Travel in big style. That means combining dynamic performance and comfort - and transforming distance into free space. BMW Motorrad's vision was the essence of this philosophy - the pure sense of Gran Turismo. This vision has now taken shape in the new K 1600 GT.
"94,710 miles","$4,900 ",R 1100 RT,  1999 BMW Sport Touring,"We are proud to offer this beautiful 1999 BMW R1100RT in amazing condition, owned by a life long Motorcycle enthusiast that really enjoyed her and kept her well maintained.This may be one of the cleanest examples you can find and is mechanically in fantastic shape. She comes with all the factory goodies like:- ABS- Heated Grips- Electrically adjustable windshield- Adjustable seat hight- Warm Air vents in the lower fairing- Shaft Drive- etc."
,"$24,490 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the ."
,"$24,490 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the ."
,"$23,165 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the ."
,"$21,315 ",R NINET,New 2023 BMW Standard,"Thoroughly reduced. And yet entirely present. The BMW R nineT. The classic roadster embodies the passion and innovation of over 90 years of motorcycle design, with high-quality materials and careful workmanship in the smallest detail. Its iconic boxer engine now blends in even better with the original proportions. And lets you power over the asphalt with its improved torque curve. Countless individualization options mean no limits when it comes to your self-realization. Become part of the  community and show who you really are with your R nineT."
,"$25,425 ",R 1250 GS ADVENTURE,New 2023 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical ."
2 miles,"$22,185 ",R 1250 GS Light White,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
,"$15,445 ",CE 04,New 2022 BMW Scooter,"You move around the world’s cities and metropolitan regions exactly at the point where each neighborhood represents the first step towards the next new idea. And you are also always on the move. We are familiar with this captivating dynamism as we have been applying it for over 10 years to develop solutions and concepts for urban electromobility, something that means far more now than just getting from A to B. It is from this long-term innovative leadership that the BMW CE 04 is launching into a new era of design, to seamlessly integrate into your everyday life thanks to its intelligent connectivity solutions. Quite simply ."
141 miles,"$18,445 ",R 18 B Manhattan Metallic Matt,  2022 BMW Touring,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
300 miles,"$25,435 ",R 18 B Black Storm Metallic,New 2022 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
"11,767 miles","$11,195 ",R 1200 RT San Marino Blue Metallic / Granite Grey Metal RTP,  2016 BMW Touring,"A motorcycle that defined the classic touring bike segment has now reached the next stage of evolution: the new BMW R 1200 RT. With its light handling, the R 1200 RT makes it possible to enjoy what is most important: riding through the landscape. Whether on your own or with a passenger: the new R 1200 RT is all about comfortable, relaxed riding on every tour."
"19,227 miles","$4,495 ",F 650 GS,  2006 BMW Dual Sport,
,"$23,610 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the ."
,"$23,425 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the ."
2 miles,"$25,495 ",R 18 B Gravity Blue Metallic,New 2023 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
